case_file,criticality
01_dataset_case_0_real.csv,0.37122030564483544
01_dataset_case_10_real.csv,0.14867697770494118
01_dataset_case_11_real.csv,0.31256102973812033
01_dataset_case_12_real.csv,0.4619593383682381
01_dataset_case_13_real.csv,
01_dataset_case_14_real.csv,0.10189325468555886
01_dataset_case_1_real.csv,0.3320104658717798
01_dataset_case_2_real.csv,0.47959958078855536
01_dataset_case_3_real.csv,
01_dataset_case_4_real.csv,0.0
01_dataset_case_5_real.csv,0.22109796059640122
01_dataset_case_6_real.csv,0.0
01_dataset_case_7_real.csv,0.0
01_dataset_case_8_real.csv,0.0
01_dataset_case_9_real.csv,0.4825034262220169
02_dataset_case_0_real.csv,
02_dataset_case_10_real.csv,0.5830053775573693
02_dataset_case_11_real.csv,0.0737624793679883
02_dataset_case_12_real.csv,0.5293513147352182
02_dataset_case_13_real.csv,0.5267172310650682
02_dataset_case_14_real.csv,0.0
02_dataset_case_1_real.csv,0.09709876101519073
02_dataset_case_2_real.csv,0.0
02_dataset_case_3_real.csv,0.29384718818451894
02_dataset_case_4_real.csv,0.3590749818796356
02_dataset_case_5_real.csv,
02_dataset_case_6_real.csv,0.18259138532080352
02_dataset_case_7_real.csv,0.48401748463905625
02_dataset_case_8_real.csv,0.0113183190797769
02_dataset_case_9_real.csv,0.0
03_dataset_case_0_real.csv,0.0
03_dataset_case_10_real.csv,0.5634257953978627
03_dataset_case_11_real.csv,0.0
03_dataset_case_12_real.csv,0.0
03_dataset_case_13_real.csv,0.0
03_dataset_case_14_real.csv,0.6132947085140279
03_dataset_case_15_real.csv,
03_dataset_case_16_real.csv,0.0
03_dataset_case_17_real.csv,0.4543811245361994
03_dataset_case_18_real.csv,0.0
03_dataset_case_19_real.csv,0.0
03_dataset_case_1_real.csv,0.09880125582722993
03_dataset_case_20_real.csv,0.0
03_dataset_case_21_real.csv,0.0
03_dataset_case_22_real.csv,0.25241135379929064
03_dataset_case_2_real.csv,0.0
03_dataset_case_3_real.csv,0.057805793991416304
03_dataset_case_4_real.csv,0.0
03_dataset_case_5_real.csv,0.15390278700185156
03_dataset_case_6_real.csv,0.36585140960329304
03_dataset_case_7_real.csv,0.586194772627386
03_dataset_case_8_real.csv,0.002929281232452619
03_dataset_case_9_real.csv,0.5198896550044231
04_dataset_case_0_real.csv,0.0
04_dataset_case_10_real.csv,0.5654582489353803
04_dataset_case_11_real.csv,0.0
04_dataset_case_12_real.csv,0.5944273341361566
04_dataset_case_13_real.csv,0.17471387696709623
04_dataset_case_14_real.csv,0.22224885728796173
04_dataset_case_15_real.csv,0.3603138704640734
04_dataset_case_16_real.csv,0.7319927383273216
04_dataset_case_17_real.csv,0.627943648562207
04_dataset_case_18_real.csv,0.0
04_dataset_case_19_real.csv,0.330282591251168
04_dataset_case_1_real.csv,0.4335845410628035
04_dataset_case_20_real.csv,0.19979745734740734
04_dataset_case_21_real.csv,0.14125791517676142
04_dataset_case_22_real.csv,0.0
04_dataset_case_23_real.csv,0.37337292356457263
04_dataset_case_24_real.csv,0.2449409555007949
04_dataset_case_25_real.csv,0.5339743589743599
04_dataset_case_26_real.csv,0.0
