t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,14.42,3.76
0.04,0.96,0.0,15.53,3.75
0.08,1.92,0.0,16.64,3.75
0.12,2.88,0.0,17.75,3.75
0.16,3.83,0.0,18.85,3.75
0.2,4.79,0.0,19.96,3.75
0.24,5.74,0.0,21.06,3.75
0.28,6.69,0.0,22.17,3.75
0.32,7.64,0.0,23.29,3.75
0.36,8.59,0.0,24.4,3.75
0.4,9.55,0.0,25.5,3.75
0.44,10.51,0.01,26.61,3.75
0.48,11.47,0.01,27.73,3.75
0.52,12.42,0.01,28.84,3.75
0.56,13.37,0.01,29.95,3.75
0.6,14.32,0.01,31.06,3.75
0.64,15.27,0.01,32.17,3.75
0.68,16.22,0.01,33.28,3.75
0.72,17.17,0.01,34.39,3.75
0.76,18.12,0.01,35.5,3.75
0.8,19.08,0.01,36.61,3.75
0.84,20.04,0.01,37.73,3.75
0.88,21.0,0.01,38.85,3.75
0.92,21.96,0.01,39.97,3.75
0.96,22.92,0.01,41.09,3.75
1.0,23.88,0.01,42.22,3.75
1.04,24.84,0.01,43.34,3.74
1.08,25.79,0.01,44.46,3.74
1.12,26.73,0.01,45.58,3.74
1.16,27.69,0.01,46.69,3.74
1.2,28.64,0.01,47.8,3.74
1.24,29.6,0.01,48.91,3.74
1.28,30.56,0.01,50.03,3.74
1.32,31.51,0.01,51.14,3.74
1.36,32.47,0.01,52.26,3.73
1.4,33.42,0.01,53.38,3.73
1.44,34.37,0.01,54.5,3.73
1.48,35.33,0.02,55.62,3.73
1.52,36.28,0.02,56.75,3.72
1.56,37.23,0.02,57.88,3.72
1.6,38.19,0.02,59.01,3.72
1.64,39.14,0.02,60.13,3.71
1.68,40.1,0.02,61.25,3.71
1.72,41.06,0.02,62.37,3.71
1.76,42.02,0.02,63.49,3.7
1.8,42.98,0.02,64.62,3.7
1.84,43.94,0.02,65.74,3.69
1.88,44.9,0.02,66.88,3.68
1.92,45.85,0.03,68.01,3.68
1.96,46.8,0.03,69.14,3.67
2.0,47.75,0.03,70.28,3.66
