t,x_ego,y_ego,x_tgt,y_tgt
0.0,-0.0,0.0,1.46,4.12
0.04,1.08,0.0,2.87,4.11
0.08,2.14,0.0,4.28,4.1
0.12,3.2,0.0,5.68,4.09
0.16,4.27,0.0,7.09,4.09
0.2,5.32,0.0,8.49,4.08
0.24,6.38,0.0,9.88,4.07
0.28,7.44,0.0,11.28,4.06
0.32,8.5,0.0,12.68,4.04
0.36,9.57,0.0,14.1,4.03
0.4,10.64,0.0,15.5,4.02
0.44,11.7,0.0,16.9,4.01
0.48,12.76,0.0,18.31,4.0
0.52,13.82,0.0,19.72,3.98
0.56,14.88,0.0,21.12,3.97
0.6,15.93,0.0,22.53,3.95
0.64,17.0,0.01,23.93,3.94
0.68,18.06,0.01,25.33,3.92
0.72,19.12,0.01,26.72,3.91
0.76,20.19,0.01,28.13,3.89
0.8,21.25,0.01,29.54,3.88
0.84,22.31,0.01,30.94,3.86
0.88,23.36,0.01,32.34,3.84
0.92,24.41,0.01,33.74,3.82
0.96,25.46,0.02,35.14,3.8
1.0,26.51,0.02,36.53,3.78
1.04,27.56,0.02,37.95,3.76
1.08,28.62,0.02,39.35,3.73
1.12,29.67,0.02,40.76,3.71
1.16,30.73,0.02,42.14,3.68
1.2,31.79,0.03,43.54,3.66
1.24,32.85,0.03,44.95,3.63
1.28,33.91,0.03,46.37,3.61
1.32,34.96,0.03,47.78,3.58
1.36,36.02,0.03,49.2,3.55
1.4,37.07,0.03,50.63,3.53
1.44,38.12,0.03,52.02,3.5
1.48,39.17,0.03,53.43,3.47
1.52,40.22,0.03,54.8,3.44
1.56,41.27,0.03,56.17,3.41
1.6,42.33,0.03,57.55,3.39
1.64,43.38,0.03,58.95,3.36
1.68,44.43,0.02,60.36,3.33
1.72,45.47,0.02,61.76,3.3
1.76,46.52,0.01,63.16,3.27
1.8,47.57,0.01,64.54,3.24
1.84,48.63,0.0,65.91,3.21
1.88,49.68,-0.01,67.31,3.18
1.92,50.74,-0.01,68.71,3.15
1.96,51.78,-0.01,70.12,3.12
2.0,52.83,-0.02,71.5,3.09
2.04,53.88,-0.02,72.9,3.06
2.08,54.93,-0.03,74.29,3.03
2.12,55.98,-0.03,75.68,3.0
2.16,57.03,-0.03,77.08,2.97
2.2,58.09,-0.04,78.48,2.94
2.24,59.14,-0.04,79.88,2.91
2.28,60.2,-0.04,81.29,2.88
2.32,61.25,-0.04,82.71,2.85
2.36,62.31,-0.04,84.08,2.81
2.4,63.35,-0.04,85.46,2.78
2.44,64.39,-0.04,86.85,2.75
2.48,65.43,-0.04,88.24,2.72
2.52,66.47,-0.04,89.64,2.69
2.56,67.52,-0.04,91.03,2.66
2.6,68.56,-0.04,92.43,2.63
2.64,69.61,-0.04,93.79,2.59
2.68,70.66,-0.03,95.16,2.56
2.72,71.7,-0.03,96.53,2.53
2.76,72.75,-0.03,97.92,2.5
2.8,73.8,-0.03,99.32,2.46
2.84,74.84,-0.02,100.71,2.43
2.88,75.88,-0.02,102.11,2.4
2.92,76.92,-0.01,103.47,2.37
2.96,77.97,-0.01,104.84,2.33
3.0,79.02,0.0,106.22,2.3
3.04,80.07,0.0,107.59,2.27
3.08,81.12,0.01,108.96,2.23
3.12,82.16,0.01,110.34,2.2
3.16,83.21,0.02,111.72,2.17
3.2,84.25,0.02,113.11,2.13
3.24,85.29,0.03,114.49,2.1
3.28,86.33,0.03,115.87,2.07
3.32,87.38,0.04,117.25,2.03
3.36,88.42,0.04,118.63,2.0
3.4,89.47,0.05,120.0,1.96
3.44,90.51,0.05,121.38,1.93
3.48,91.56,0.06,122.75,1.9
3.52,92.61,0.07,124.12,1.86
3.56,93.64,0.07,125.49,1.83
3.6,94.66,0.08,126.86,1.8
3.64,95.69,0.08,128.24,1.77
3.68,96.72,0.09,129.6,1.73
3.72,97.76,0.09,130.97,1.7
3.76,98.79,0.09,132.33,1.67
3.8,99.83,0.1,133.7,1.64
3.84,100.87,0.1,135.08,1.61
3.88,101.9,0.1,136.45,1.58
3.92,102.93,0.1,137.82,1.55
3.96,103.97,0.1,139.19,1.52
4.0,104.99,0.1,140.56,1.49
4.04,106.02,0.1,141.93,1.46
4.08,107.05,0.1,143.3,1.43
4.12,108.09,0.09,144.67,1.4
4.16,109.13,0.09,146.04,1.37
4.2,110.17,0.09,147.4,1.34
4.24,111.2,0.08,148.77,1.31
4.28,112.24,0.08,150.14,1.29
4.32,113.26,0.08,151.51,1.26
4.36,114.29,0.08,152.89,1.23
4.4,115.31,0.07,154.26,1.21
4.44,116.33,0.07,155.62,1.18
4.48,117.36,0.06,156.99,1.16
4.52,118.39,0.06,158.35,1.13
4.56,119.42,0.06,159.72,1.11
4.6,120.46,0.05,161.09,1.09
4.64,121.5,0.05,162.47,1.06
4.68,122.53,0.05,163.85,1.04
4.72,123.57,0.05,165.21,1.02
4.76,124.61,0.05,166.56,1.0
4.8,125.65,0.05,167.92,0.97
4.84,126.69,0.05,169.28,0.95
4.88,127.72,0.05,170.65,0.93
4.92,128.76,0.05,172.01,0.91
4.96,129.79,0.05,173.37,0.89
5.0,130.83,0.05,174.74,0.87
5.04,131.85,0.06,176.1,0.85
5.08,132.88,0.07,177.47,0.83
5.12,133.91,0.07,178.83,0.82
5.16,134.94,0.08,180.2,0.8
5.2,135.97,0.09,181.56,0.78
5.24,137.0,0.09,182.93,0.76
5.28,138.03,0.1,184.28,0.74
5.32,139.06,0.11,185.64,0.73
5.36,140.08,0.12,187.0,0.71
5.4,141.1,0.13,188.35,0.69
5.44,142.13,0.14,189.72,0.68
5.48,143.15,0.15,191.08,0.66
5.52,144.17,0.16,192.44,0.64
5.56,145.18,0.17,193.8,0.63
5.6,146.2,0.18,195.17,0.61
5.64,147.21,0.2,196.52,0.6
5.68,148.23,0.21,197.87,0.58
5.72,149.26,0.22,199.23,0.56
5.76,150.28,0.23,200.59,0.55
5.8,151.31,0.24,201.94,0.53
5.84,152.34,0.24,203.28,0.52
5.88,153.36,0.25,204.62,0.5
5.92,154.37,0.25,205.98,0.49
5.96,155.38,0.25,207.34,0.47
6.0,156.4,0.25,208.7,0.46
6.04,157.42,0.25,210.05,0.44
6.08,158.44,0.26,211.39,0.43
6.12,159.46,0.26,212.74,0.42
6.16,160.48,0.26,214.08,0.4
6.2,161.49,0.25,215.43,0.39
6.24,162.51,0.25,216.78,0.37
6.28,163.51,0.25,218.12,0.36
6.32,164.52,0.24,219.46,0.35
6.36,165.52,0.24,220.81,0.33
6.4,166.54,0.23,222.17,0.32
6.44,167.55,0.23,223.51,0.31
6.48,168.57,0.22,224.85,0.29
6.52,169.58,0.22,226.2,0.28
6.56,170.6,0.21,227.55,0.27
6.6,171.61,0.21,228.9,0.26
6.64,172.62,0.21,230.24,0.24
6.68,173.63,0.2,231.59,0.23
6.72,174.64,0.2,232.94,0.22
6.76,175.66,0.19,234.28,0.21
6.8,176.68,0.19,235.61,0.19
6.84,177.69,0.19,236.94,0.18
6.88,178.7,0.18,238.28,0.17
6.92,179.71,0.18,239.61,0.16
6.96,180.72,0.18,240.95,0.15
7.0,181.73,0.18,242.29,0.14
7.04,182.74,0.17,243.62,0.13
7.08,183.75,0.17,244.97,0.12
7.12,184.75,0.17,246.31,0.11
7.16,185.75,0.17,247.65,0.1
7.2,186.75,0.18,248.99,0.09
7.24,187.76,0.18,250.33,0.09
7.28,188.78,0.18,251.67,0.08
7.32,189.79,0.18,253.02,0.07
7.36,190.8,0.19,254.37,0.06
7.4,191.81,0.19,255.72,0.05
7.44,192.82,0.19,257.06,0.05
7.48,193.83,0.2,258.41,0.04
