t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,12.61,3.92
0.04,1.18,0.0,14.02,3.91
0.08,2.36,0.01,15.43,3.89
0.12,3.54,0.01,16.86,3.87
0.16,4.72,0.01,18.28,3.85
0.2,5.9,0.02,19.7,3.83
0.24,7.08,0.02,21.11,3.81
0.28,8.25,0.03,22.53,3.78
0.32,9.43,0.03,23.95,3.76
0.36,10.61,0.04,25.36,3.73
0.4,11.79,0.04,26.78,3.71
0.44,12.97,0.05,28.19,3.68
0.48,14.15,0.05,29.61,3.65
0.52,15.32,0.06,31.03,3.62
0.56,16.5,0.06,32.45,3.6
0.6,17.68,0.07,33.87,3.57
0.64,18.86,0.07,35.3,3.54
0.68,20.05,0.08,36.73,3.5
0.72,21.23,0.08,38.15,3.47
0.76,22.41,0.09,39.57,3.44
0.8,23.59,0.09,40.99,3.4
0.84,24.77,0.1,42.41,3.37
0.88,25.95,0.1,43.84,3.33
0.92,27.14,0.11,45.26,3.3
0.96,28.32,0.11,46.69,3.26
1.0,29.5,0.12,48.11,3.22
1.04,30.69,0.12,49.53,3.18
1.08,31.88,0.12,50.96,3.15
1.12,33.07,0.13,52.39,3.11
1.16,34.25,0.13,53.82,3.07
1.2,35.44,0.14,55.25,3.02
1.24,36.63,0.14,56.68,2.98
1.28,37.82,0.14,58.11,2.94
1.32,39.0,0.15,59.53,2.9
1.36,40.17,0.15,60.96,2.86
1.4,41.35,0.15,62.38,2.81
1.44,42.52,0.16,63.8,2.77
1.48,43.7,0.16,65.23,2.73
1.52,44.88,0.16,66.67,2.68
1.56,46.06,0.16,68.1,2.64
1.6,47.25,0.16,69.53,2.59
1.64,48.44,0.16,70.96,2.55
1.68,49.61,0.16,72.39,2.5
1.72,50.8,0.16,73.82,2.46
1.76,51.97,0.16,75.25,2.42
1.8,53.15,0.16,76.68,2.37
1.84,54.33,0.16,78.11,2.33
1.88,55.5,0.16,79.53,2.28
1.92,56.68,0.16,80.94,2.24
1.96,57.85,0.15,82.36,2.2
2.0,59.02,0.15,83.78,2.16
2.04,60.19,0.15,85.2,2.11
2.08,61.37,0.14,86.62,2.07
2.12,62.55,0.14,88.03,2.03
2.16,63.72,0.13,89.45,1.99
2.2,64.9,0.13,90.88,1.95
2.24,66.08,0.13,92.3,1.91
2.28,67.27,0.12,93.73,1.86
2.32,68.45,0.12,95.16,1.82
2.36,69.63,0.11,96.59,1.79
2.4,70.81,0.1,98.01,1.75
2.44,71.99,0.1,99.43,1.71
2.48,73.17,0.09,100.85,1.67
2.52,74.34,0.09,102.27,1.63
2.56,75.52,0.08,103.68,1.59
2.6,76.7,0.08,105.09,1.56
2.64,77.88,0.07,106.51,1.52
