t,x_ego,y_ego,x_tgt,y_tgt
0.0,-0.0,0.0,-18.21,4.0
0.04,1.04,0.0,-16.71,4.01
0.08,2.06,0.0,-15.23,4.01
0.12,3.09,0.0,-13.74,4.01
0.16,4.12,0.0,-12.25,4.02
0.2,5.16,0.01,-10.77,4.02
0.24,6.19,0.01,-9.29,4.03
0.28,7.23,0.01,-7.8,4.03
0.32,8.26,0.01,-6.32,4.04
0.36,9.31,0.02,-4.84,4.04
0.4,10.35,0.02,-3.36,4.05
0.44,11.39,0.02,-1.87,4.05
0.48,12.42,0.02,-0.39,4.06
0.52,13.44,0.03,1.09,4.06
0.56,14.47,0.03,2.57,4.07
0.6,15.5,0.03,4.05,4.07
0.64,16.54,0.03,5.53,4.08
0.68,17.57,0.03,7.0,4.09
0.72,18.6,0.04,8.48,4.09
0.76,19.63,0.04,9.95,4.1
0.8,20.66,0.04,11.43,4.11
0.84,21.7,0.04,12.92,4.12
0.88,22.73,0.05,14.39,4.12
0.92,23.76,0.05,15.87,4.13
0.96,24.79,0.05,17.34,4.14
1.0,25.83,0.05,18.81,4.15
1.04,26.86,0.06,20.28,4.15
1.08,27.89,0.06,21.76,4.16
1.12,28.92,0.06,23.23,4.17
1.16,29.95,0.06,24.7,4.18
1.2,30.97,0.06,26.16,4.18
1.24,32.0,0.06,27.63,4.19
1.28,33.02,0.06,29.09,4.2
1.32,34.05,0.07,30.56,4.2
1.36,35.08,0.07,32.03,4.21
1.4,36.1,0.07,33.5,4.22
1.44,37.13,0.07,34.97,4.22
1.48,38.16,0.07,36.44,4.23
1.52,39.19,0.07,37.9,4.23
1.56,40.22,0.07,39.36,4.24
1.6,41.25,0.07,40.82,4.24
1.64,42.27,0.07,42.28,4.25
1.68,43.29,0.07,43.74,4.25
1.72,44.31,0.06,45.21,4.25
1.76,45.34,0.06,46.67,4.26
1.8,46.38,0.06,48.15,4.26
1.84,47.41,0.06,49.62,4.26
1.88,48.44,0.06,51.09,4.27
1.92,49.47,0.06,52.55,4.27
1.96,50.5,0.06,54.01,4.27
2.0,51.52,0.06,55.48,4.27
2.04,52.54,0.06,56.94,4.28
2.08,53.56,0.06,58.41,4.28
