t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,-1.39,3.79
0.04,0.94,0.0,-0.05,3.78
0.08,1.88,0.01,1.28,3.78
0.12,2.81,0.01,2.63,3.77
0.16,3.75,0.01,3.96,3.77
0.2,4.68,0.02,5.3,3.76
0.24,5.62,0.02,6.65,3.76
0.28,6.57,0.03,7.99,3.75
0.32,7.51,0.03,9.33,3.75
0.36,8.46,0.03,10.68,3.74
0.4,9.4,0.03,12.03,3.74
0.44,10.34,0.04,13.38,3.73
0.48,11.28,0.04,14.73,3.73
0.52,12.22,0.04,16.07,3.72
0.56,13.16,0.05,17.42,3.72
0.6,14.11,0.05,18.78,3.71
0.64,15.05,0.05,20.13,3.71
0.68,15.99,0.05,21.47,3.71
0.72,16.93,0.06,22.81,3.7
0.76,17.87,0.06,24.14,3.7
0.8,18.81,0.06,25.48,3.69
0.84,19.75,0.06,26.82,3.69
0.88,20.68,0.07,28.16,3.68
0.92,21.62,0.07,29.5,3.68
0.96,22.55,0.07,30.85,3.67
1.0,23.48,0.07,32.19,3.67
1.04,24.43,0.07,33.54,3.67
1.08,25.36,0.07,34.9,3.66
1.12,26.29,0.08,36.25,3.66
1.16,27.23,0.08,37.59,3.65
1.2,28.17,0.08,38.93,3.65
1.24,29.11,0.08,40.27,3.65
1.28,30.04,0.08,41.6,3.65
1.32,30.99,0.08,42.95,3.64
1.36,31.92,0.08,44.28,3.64
1.4,32.86,0.08,45.62,3.64
1.44,33.8,0.08,46.96,3.64
1.48,34.72,0.09,48.28,3.64
1.52,35.65,0.09,49.61,3.64
1.56,36.59,0.09,50.95,3.64
1.6,37.53,0.09,52.29,3.64
1.64,38.48,0.09,53.63,3.63
1.68,39.42,0.09,54.98,3.63
1.72,40.36,0.09,56.32,3.63
1.76,41.3,0.09,57.67,3.63
1.8,42.23,0.09,59.03,3.63
1.84,43.16,0.09,60.38,3.63
1.88,44.1,0.09,61.73,3.64
1.92,45.04,0.09,63.08,3.64
1.96,45.98,0.09,64.42,3.64
2.0,46.92,0.09,65.76,3.64
2.04,47.86,0.09,67.09,3.64
2.08,48.8,0.09,68.43,3.64
2.12,49.75,0.09,69.77,3.64
2.16,50.68,0.09,71.1,3.64
2.2,51.61,0.09,72.45,3.65
2.24,52.55,0.09,73.8,3.65
2.28,53.48,0.1,75.14,3.65
2.32,54.41,0.09,76.48,3.65
2.36,55.35,0.09,77.83,3.65
2.4,56.28,0.09,79.17,3.66
2.44,57.22,0.09,80.52,3.66
2.48,58.15,0.09,81.87,3.66
2.52,59.09,0.09,83.2,3.66
2.56,60.02,0.09,84.54,3.66
2.6,60.95,0.09,85.87,3.67
2.64,61.89,0.09,87.2,3.67
2.68,62.83,0.08,88.53,3.67
2.72,63.75,0.08,89.86,3.67
2.76,64.68,0.08,91.19,3.67
2.8,65.62,0.08,92.52,3.68
2.84,66.56,0.07,93.86,3.68
2.88,67.5,0.07,95.19,3.68
2.92,68.44,0.07,96.53,3.68
2.96,69.37,0.07,97.86,3.68
3.0,70.3,0.07,99.18,3.68
3.04,71.23,0.06,100.51,3.68
