t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,8.64,4.21
0.04,1.15,0.0,9.93,4.2
0.08,2.31,0.0,11.21,4.2
0.12,3.46,-0.01,12.51,4.19
0.16,4.61,-0.01,13.81,4.19
0.2,5.77,-0.01,15.11,4.18
0.24,6.92,-0.01,16.41,4.18
0.28,8.07,-0.01,17.7,4.17
0.32,9.21,-0.01,19.0,4.17
0.36,10.37,-0.01,20.3,4.16
0.4,11.51,-0.01,21.6,4.16
0.44,12.66,-0.01,22.9,4.15
0.48,13.81,-0.02,24.2,4.15
0.52,14.96,-0.02,25.5,4.15
0.56,16.12,-0.02,26.8,4.14
0.6,17.28,-0.02,28.08,4.14
0.64,18.44,-0.02,29.37,4.14
0.68,19.6,-0.02,30.67,4.13
0.72,20.76,-0.03,31.96,4.13
0.76,21.93,-0.03,33.25,4.12
0.8,23.09,-0.03,34.55,4.12
0.84,24.25,-0.03,35.85,4.12
0.88,25.4,-0.03,37.14,4.11
0.92,26.56,-0.03,38.45,4.11
0.96,27.72,-0.03,39.75,4.11
1.0,28.87,-0.03,41.05,4.1
1.04,30.02,-0.03,42.35,4.1
1.08,31.18,-0.03,43.66,4.09
1.12,32.33,-0.03,44.96,4.09
1.16,33.48,-0.04,46.25,4.09
1.2,34.63,-0.04,47.56,4.08
1.24,35.78,-0.04,48.86,4.08
1.28,36.93,-0.04,50.16,4.07
1.32,38.09,-0.04,51.47,4.07
1.36,39.24,-0.04,52.78,4.07
1.4,40.4,-0.04,54.09,4.06
1.44,41.56,-0.04,55.4,4.06
1.48,42.73,-0.04,56.71,4.05
1.52,43.9,-0.04,58.02,4.05
1.56,45.06,-0.05,59.33,4.04
1.6,46.22,-0.05,60.65,4.04
1.64,47.38,-0.05,61.96,4.03
1.68,48.54,-0.05,63.27,4.03
1.72,49.72,-0.05,64.58,4.02
1.76,50.89,-0.06,65.9,4.01
1.8,52.07,-0.06,67.21,4.01
1.84,53.27,-0.06,68.52,4.0
1.88,54.41,-0.06,69.84,3.99
1.92,55.55,-0.06,71.15,3.98
1.96,56.69,-0.07,72.46,3.97
2.0,57.84,-0.07,73.76,3.96
2.04,58.98,-0.07,75.07,3.95
2.08,60.13,-0.07,76.36,3.94
2.12,61.29,-0.07,77.67,3.93
2.16,62.45,-0.08,78.98,3.92
2.2,63.62,-0.08,80.3,3.91
2.24,64.77,-0.08,81.62,3.9
2.28,65.92,-0.08,82.94,3.89
2.32,67.08,-0.09,84.27,3.87
2.36,68.24,-0.09,85.58,3.86
2.4,69.39,-0.09,86.91,3.84
2.44,70.55,-0.09,88.23,3.83
2.48,71.71,-0.09,89.54,3.82
2.52,72.87,-0.1,90.86,3.8
2.56,74.03,-0.1,92.17,3.78
2.6,75.19,-0.1,93.49,3.77
2.64,76.35,-0.1,94.81,3.75
2.68,77.52,-0.1,96.12,3.73
2.72,78.69,-0.1,97.44,3.71
2.76,79.86,-0.1,98.76,3.69
2.8,81.03,-0.1,100.07,3.67
2.84,82.18,-0.1,101.38,3.65
2.88,83.35,-0.1,102.7,3.63
2.92,84.51,-0.1,104.01,3.61
2.96,85.66,-0.11,105.33,3.59
3.0,86.82,-0.11,106.65,3.56
3.04,87.97,-0.11,107.97,3.54
3.08,89.13,-0.11,109.29,3.52
3.12,90.29,-0.11,110.62,3.49
3.16,91.45,-0.11,111.94,3.47
3.2,92.61,-0.11,113.26,3.45
3.24,93.77,-0.11,114.58,3.42
3.28,94.93,-0.11,115.91,3.4
3.32,96.09,-0.11,117.23,3.37
3.36,97.25,-0.1,118.56,3.34
3.4,98.41,-0.1,119.87,3.32
3.44,99.58,-0.1,121.19,3.29
3.48,100.75,-0.1,122.52,3.26
3.52,101.92,-0.1,123.85,3.23
3.56,103.08,-0.1,125.17,3.2
3.6,104.24,-0.1,126.49,3.17
3.64,105.4,-0.1,127.82,3.14
3.68,106.57,-0.1,129.15,3.11
3.72,107.73,-0.1,130.48,3.07
3.76,108.9,-0.1,131.8,3.04
3.8,110.07,-0.1,133.13,3.01
3.84,111.23,-0.1,134.45,2.98
3.88,112.41,-0.1,135.77,2.94
3.92,113.57,-0.1,137.09,2.91
3.96,114.74,-0.1,138.41,2.87
4.0,115.91,-0.11,139.73,2.83
4.04,117.08,-0.11,141.05,2.8
4.08,118.24,-0.11,142.37,2.76
4.12,119.4,-0.11,143.69,2.73
4.16,120.56,-0.11,145.0,2.69
4.2,121.72,-0.11,146.3,2.65
4.24,122.89,-0.11,147.65,2.61
4.28,124.05,-0.12,148.98,2.58
4.32,125.22,-0.12,150.31,2.54
4.36,126.38,-0.12,151.64,2.5
4.4,127.55,-0.12,152.97,2.46
4.44,128.72,-0.13,154.29,2.43
4.48,129.88,-0.13,155.62,2.39
4.52,131.04,-0.14,156.95,2.35
4.56,132.21,-0.14,158.28,2.31
4.6,133.37,-0.14,159.61,2.27
4.64,134.54,-0.15,160.95,2.23
4.68,135.71,-0.15,162.28,2.2
4.72,136.87,-0.16,163.6,2.16
4.76,138.04,-0.16,164.92,2.12
4.8,139.2,-0.17,166.24,2.08
4.84,140.37,-0.17,167.56,2.04
4.88,141.54,-0.17,168.86,2.0
4.92,142.71,-0.18,170.18,1.96
4.96,143.88,-0.18,171.49,1.93
5.0,145.05,-0.19,172.81,1.89
5.04,146.22,-0.19,174.14,1.85
5.08,147.39,-0.2,175.46,1.81
5.12,148.56,-0.2,176.8,1.77
5.16,149.73,-0.21,178.14,1.73
5.2,150.89,-0.21,179.48,1.7
5.24,152.06,-0.22,180.82,1.66
5.28,153.22,-0.22,182.15,1.62
5.32,154.39,-0.23,183.49,1.58
5.36,155.56,-0.23,184.82,1.54
5.4,156.73,-0.24,186.14,1.5
5.44,157.9,-0.24,187.46,1.46
5.48,159.06,-0.25,188.78,1.42
