t,x_ego,y_ego,x_tgt,y_tgt
0.0,-0.0,0.0,-0.87,3.2
0.04,1.26,0.0,0.78,3.19
0.08,2.52,0.0,2.42,3.19
0.12,3.78,-0.01,4.07,3.19
0.16,5.04,-0.01,5.72,3.18
0.2,6.31,-0.01,7.36,3.18
0.24,7.57,-0.01,9.0,3.18
0.28,8.82,-0.01,10.65,3.17
0.32,10.08,-0.02,12.3,3.17
0.36,11.34,-0.02,13.95,3.16
0.4,12.6,-0.02,15.6,3.15
0.44,13.86,-0.02,17.25,3.15
0.48,15.13,-0.02,18.89,3.14
0.52,16.39,-0.02,20.54,3.13
0.56,17.65,-0.02,22.18,3.12
0.6,18.91,-0.03,23.83,3.11
0.64,20.16,-0.03,25.49,3.09
0.68,21.42,-0.03,27.14,3.08
0.72,22.69,-0.03,28.8,3.07
0.76,23.94,-0.03,30.45,3.05
0.8,25.19,-0.03,32.1,3.03
0.84,26.45,-0.03,33.76,3.02
0.88,27.7,-0.03,35.42,3.0
0.92,28.96,-0.03,37.08,2.98
0.96,30.22,-0.03,38.75,2.96
1.0,31.47,-0.03,40.41,2.94
1.04,32.73,-0.03,42.07,2.92
1.08,33.98,-0.03,43.72,2.9
1.12,35.23,-0.03,45.38,2.87
1.16,36.49,-0.03,47.04,2.85
1.2,37.75,-0.03,48.7,2.82
1.24,39.01,-0.03,50.36,2.8
1.28,40.26,-0.03,52.02,2.77
1.32,41.5,-0.03,53.66,2.75
1.36,42.75,-0.03,55.32,2.72
1.4,43.98,-0.03,56.97,2.69
1.44,45.26,-0.04,58.62,2.66
1.48,46.52,-0.04,60.28,2.63
1.52,47.78,-0.04,61.95,2.6
1.56,49.04,-0.04,63.62,2.57
1.6,50.29,-0.04,65.28,2.54
1.64,51.56,-0.04,66.93,2.51
1.68,52.83,-0.04,68.57,2.48
1.72,54.08,-0.04,70.19,2.45
1.76,55.34,-0.04,71.84,2.42
1.8,56.58,-0.04,73.48,2.38
1.84,57.85,-0.05,75.16,2.35
1.88,59.11,-0.05,76.83,2.32
1.92,60.35,-0.05,78.49,2.29
1.96,61.6,-0.05,80.15,2.25
2.0,62.84,-0.05,81.81,2.22
2.04,64.07,-0.05,83.47,2.19
2.08,65.32,-0.05,85.14,2.16
2.12,66.56,-0.06,86.8,2.12
2.16,67.82,-0.06,88.46,2.09
2.2,69.07,-0.06,90.11,2.06
2.24,70.32,-0.06,91.77,2.02
2.28,71.58,-0.06,93.42,1.99
2.32,72.83,-0.06,95.09,1.96
2.36,74.09,-0.06,96.75,1.92
2.4,75.34,-0.07,98.39,1.89
2.44,76.6,-0.07,100.03,1.86
2.48,77.86,-0.07,101.66,1.82
2.52,79.1,-0.07,103.31,1.79
2.56,80.35,-0.07,104.96,1.76
2.6,81.59,-0.07,106.6,1.72
2.64,82.84,-0.07,108.25,1.69
2.68,84.1,-0.08,109.9,1.66
2.72,85.35,-0.08,111.54,1.63
