t,x_ego,y_ego,x_tgt,y_tgt
0.0,-0.0,0.0,10.13,3.74
0.04,0.94,0.0,11.63,3.71
0.08,1.87,0.0,13.12,3.68
0.12,2.8,0.0,14.62,3.66
0.16,3.74,0.0,16.11,3.63
0.2,4.67,0.0,17.62,3.6
0.24,5.61,0.0,19.14,3.57
0.28,6.55,0.0,20.64,3.54
0.32,7.48,-0.01,22.15,3.5
0.36,8.41,-0.01,23.67,3.47
0.4,9.33,-0.01,25.16,3.43
0.44,10.24,-0.01,26.64,3.4
0.48,11.16,-0.01,28.13,3.36
0.52,12.07,-0.01,29.62,3.32
0.56,12.97,-0.01,31.1,3.29
0.6,13.88,-0.01,32.58,3.25
0.64,14.8,-0.01,34.07,3.21
0.68,15.74,-0.02,35.56,3.17
0.72,16.66,-0.02,37.06,3.13
0.76,17.58,-0.02,38.56,3.08
0.8,18.5,-0.02,40.06,3.04
0.84,19.43,-0.02,41.56,3.0
0.88,20.35,-0.02,43.05,2.96
0.92,21.27,-0.02,44.53,2.91
0.96,22.19,-0.02,46.01,2.87
1.0,23.11,-0.02,47.5,2.83
1.04,24.03,-0.02,48.99,2.78
1.08,24.95,-0.03,50.48,2.74
1.12,25.88,-0.03,51.97,2.69
1.16,26.8,-0.03,53.46,2.65
1.2,27.73,-0.03,54.94,2.6
1.24,28.64,-0.03,56.43,2.56
1.28,29.57,-0.03,57.92,2.51
1.32,30.49,-0.04,59.4,2.47
1.36,31.41,-0.04,60.88,2.43
1.4,32.33,-0.04,62.37,2.38
1.44,33.24,-0.04,63.86,2.34
1.48,34.16,-0.04,65.34,2.29
1.52,35.08,-0.05,66.83,2.25
1.56,36.0,-0.05,68.34,2.2
1.6,36.92,-0.05,69.84,2.16
1.64,37.83,-0.05,71.33,2.12
1.68,38.75,-0.06,72.83,2.08
1.72,39.67,-0.06,74.31,2.03
1.76,40.58,-0.06,75.81,1.99
1.8,41.5,-0.07,77.3,1.95
1.84,42.41,-0.07,78.8,1.91
1.88,43.31,-0.07,80.27,1.87
1.92,44.24,-0.08,81.76,1.83
1.96,45.17,-0.08,83.25,1.79
2.0,46.09,-0.09,84.74,1.75
2.04,47.01,-0.09,86.23,1.72
2.08,47.93,-0.1,87.71,1.68
2.12,48.86,-0.1,89.21,1.64
2.16,49.78,-0.1,90.7,1.61
2.2,50.7,-0.11,92.19,1.57
2.24,51.62,-0.11,93.67,1.53
2.28,52.54,-0.12,95.17,1.5
2.32,53.45,-0.12,96.66,1.47
2.36,54.36,-0.13,98.15,1.43
2.4,55.29,-0.13,99.64,1.4
2.44,56.21,-0.14,101.14,1.37
2.48,57.13,-0.14,102.62,1.34
2.52,58.05,-0.14,104.11,1.31
2.56,58.97,-0.15,105.59,1.28
2.6,59.87,-0.15,107.07,1.25
2.64,60.78,-0.16,108.56,1.22
2.68,61.69,-0.16,110.03,1.19
2.72,62.6,-0.17,111.51,1.16
2.76,63.51,-0.18,112.99,1.14
2.8,64.43,-0.18,114.48,1.11
2.84,65.35,-0.19,115.97,1.08
2.88,66.27,-0.19,117.46,1.06
2.92,67.2,-0.2,118.94,1.03
2.96,68.12,-0.2,120.41,1.01
3.0,69.03,-0.21,121.89,0.99
3.04,69.95,-0.21,123.37,0.96
3.08,70.88,-0.22,124.86,0.94
3.12,71.8,-0.22,126.33,0.92
3.16,72.7,-0.22,127.81,0.9
3.2,73.61,-0.23,129.29,0.88
3.24,74.51,-0.23,130.76,0.86
3.28,75.42,-0.24,132.23,0.84
3.32,76.33,-0.24,133.71,0.82
3.36,77.25,-0.24,135.19,0.8
3.4,78.17,-0.25,136.66,0.78
3.44,79.09,-0.25,138.14,0.77
3.48,80.01,-0.26,139.61,0.75
3.52,80.92,-0.26,141.08,0.74
3.56,81.82,-0.26,142.55,0.72
3.6,82.73,-0.27,144.02,0.71
3.64,83.64,-0.27,145.48,0.69
3.68,84.55,-0.28,146.95,0.68
3.72,85.47,-0.28,148.42,0.66
3.76,86.4,-0.29,149.89,0.65
3.8,87.32,-0.29,151.37,0.64
3.84,88.24,-0.29,152.84,0.63
3.88,89.16,-0.3,154.32,0.62
3.92,90.08,-0.3,155.8,0.61
3.96,91.0,-0.3,157.28,0.6
4.0,91.91,-0.31,158.75,0.59
4.04,92.82,-0.31,160.23,0.58
4.08,93.72,-0.31,161.7,0.57
4.12,94.63,-0.31,163.17,0.56
4.16,95.54,-0.31,164.64,0.55
4.2,96.46,-0.32,166.12,0.55
4.24,97.37,-0.32,167.58,0.54
4.28,98.3,-0.32,169.06,0.53
4.32,99.21,-0.32,170.53,0.53
4.36,100.12,-0.32,172.01,0.52
4.4,101.03,-0.33,173.48,0.51
4.44,101.94,-0.33,174.96,0.51
4.48,102.85,-0.33,176.43,0.5
4.52,103.76,-0.33,177.9,0.5
4.56,104.68,-0.33,179.39,0.49
4.6,105.59,-0.33,180.87,0.49
4.64,106.51,-0.33,182.34,0.49
4.68,107.43,-0.34,183.82,0.48
4.72,108.35,-0.34,185.29,0.48
4.76,109.26,-0.34,186.77,0.47
4.8,110.18,-0.34,188.25,0.47
4.84,111.09,-0.34,189.72,0.47
4.88,112.0,-0.34,191.19,0.47
4.92,112.91,-0.34,192.66,0.46
