t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,-6.17,3.71
0.04,0.83,0.0,-5.15,3.7
0.08,1.66,0.0,-4.13,3.7
0.12,2.5,-0.01,-3.12,3.69
0.16,3.34,-0.01,-2.1,3.69
0.2,4.18,-0.01,-1.08,3.68
0.24,5.02,-0.01,-0.07,3.68
0.28,5.87,-0.01,0.95,3.67
0.32,6.72,-0.01,1.97,3.67
0.36,7.56,-0.01,2.98,3.66
0.4,8.41,-0.02,4.0,3.66
0.44,9.25,-0.02,5.01,3.65
0.48,10.09,-0.02,6.03,3.65
0.52,10.93,-0.02,7.05,3.64
0.56,11.76,-0.02,8.07,3.64
0.6,12.59,-0.02,9.09,3.63
0.64,13.43,-0.02,10.11,3.63
0.68,14.27,-0.02,11.14,3.63
0.72,15.11,-0.02,12.16,3.62
0.76,15.96,-0.02,13.18,3.62
0.8,16.81,-0.02,14.2,3.62
0.84,17.66,-0.02,15.21,3.62
0.88,18.5,-0.02,16.23,3.61
0.92,19.34,-0.02,17.24,3.61
0.96,20.19,-0.02,18.25,3.61
1.0,21.03,-0.02,19.27,3.6
1.04,21.87,-0.02,20.29,3.6
1.08,22.72,-0.02,21.31,3.6
1.12,23.56,-0.01,22.33,3.6
1.16,24.4,-0.01,23.36,3.59
1.2,25.24,-0.01,24.38,3.59
1.24,26.09,-0.01,25.4,3.59
1.28,26.94,-0.01,26.42,3.59
1.32,27.79,-0.01,27.43,3.58
1.36,28.63,-0.01,28.45,3.58
1.4,29.47,-0.01,29.46,3.58
1.44,30.31,0.0,30.48,3.58
1.48,31.15,0.0,31.5,3.57
1.52,31.98,0.0,32.52,3.57
1.56,32.83,0.0,33.55,3.57
1.6,33.67,0.01,34.57,3.57
1.64,34.51,0.01,35.59,3.57
1.68,35.36,0.01,36.61,3.56
1.72,36.2,0.01,37.63,3.56
1.76,37.04,0.02,38.65,3.56
1.8,37.88,0.02,39.66,3.56
1.84,38.73,0.02,40.68,3.56
1.88,39.57,0.03,41.69,3.56
1.92,40.41,0.03,42.71,3.56
1.96,41.25,0.03,43.72,3.56
2.0,42.08,0.04,44.74,3.56
2.04,42.92,0.04,45.77,3.56
2.08,43.76,0.05,46.79,3.56
2.12,44.6,0.05,47.81,3.56
2.16,45.44,0.05,48.84,3.56
2.2,46.29,0.06,49.86,3.56
2.24,47.13,0.06,50.88,3.56
2.28,47.97,0.07,51.9,3.56
2.32,48.81,0.07,52.92,3.56
2.36,49.66,0.07,53.95,3.56
2.4,50.5,0.08,54.97,3.56
2.44,51.34,0.08,55.99,3.56
2.48,52.18,0.09,57.01,3.56
2.52,53.01,0.09,58.03,3.57
2.56,53.85,0.1,59.06,3.57
2.6,54.69,0.1,60.09,3.57
2.64,55.52,0.11,61.11,3.57
2.68,56.37,0.11,62.13,3.57
2.72,57.22,0.12,63.16,3.57
2.76,58.06,0.13,64.18,3.57
2.8,58.9,0.13,65.2,3.57
2.84,59.74,0.14,66.22,3.57
2.88,60.58,0.15,67.24,3.56
2.92,61.41,0.15,68.26,3.56
2.96,62.25,0.16,69.29,3.56
3.0,63.09,0.17,70.31,3.56
3.04,63.94,0.17,71.33,3.56
3.08,64.77,0.18,72.36,3.56
3.12,65.61,0.19,73.38,3.55
3.16,66.45,0.19,74.4,3.55
3.2,67.3,0.2,75.43,3.55
3.24,68.14,0.21,76.45,3.55
3.28,68.99,0.22,77.48,3.54
3.32,69.83,0.22,78.49,3.54
3.36,70.68,0.23,79.52,3.54
3.4,71.53,0.24,80.53,3.53
3.44,72.37,0.25,81.55,3.53
3.48,73.22,0.25,82.58,3.53
3.52,74.07,0.26,83.6,3.52
3.56,74.92,0.27,84.64,3.52
3.6,75.77,0.27,85.67,3.52
3.64,76.62,0.28,86.7,3.51
3.68,77.47,0.29,87.73,3.51
3.72,78.32,0.29,88.76,3.5
3.76,79.18,0.3,89.79,3.5
3.8,80.03,0.31,90.81,3.49
3.84,80.87,0.31,91.84,3.49
3.88,81.72,0.32,92.87,3.48
3.92,82.56,0.33,93.9,3.47
