t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,15.85,3.69
0.04,1.42,0.0,17.47,3.68
0.08,2.84,0.0,19.08,3.68
0.12,4.25,0.0,20.69,3.67
0.16,5.67,0.0,22.31,3.67
0.2,7.09,0.0,23.94,3.66
0.24,8.51,0.0,25.56,3.66
0.28,9.93,0.0,27.18,3.65
0.32,11.35,0.0,28.8,3.65
0.36,12.77,0.0,30.41,3.64
0.4,14.19,0.01,32.03,3.63
0.44,15.61,0.01,33.65,3.63
0.48,17.04,0.01,35.27,3.62
0.52,18.46,0.01,36.89,3.62
0.56,19.88,0.01,38.51,3.61
0.6,21.31,0.01,40.13,3.61
0.64,22.74,0.01,41.75,3.6
0.68,24.16,0.01,43.37,3.6
0.72,25.59,0.01,44.99,3.59
0.76,27.01,0.01,46.62,3.58
0.8,28.43,0.02,48.24,3.58
0.84,29.85,0.02,49.87,3.57
0.88,31.28,0.02,51.5,3.57
0.92,32.69,0.02,53.14,3.56
0.96,34.11,0.02,54.77,3.56
1.0,35.53,0.02,56.41,3.55
1.04,36.95,0.03,58.04,3.54
1.08,38.38,0.03,59.69,3.54
1.12,39.81,0.03,61.33,3.53
1.16,41.24,0.03,62.97,3.52
1.2,42.67,0.03,64.61,3.52
1.24,44.09,0.04,66.25,3.51
1.28,45.52,0.04,67.89,3.5
1.32,46.94,0.04,69.53,3.49
1.36,48.36,0.04,71.16,3.48
1.4,49.79,0.05,72.8,3.47
1.44,51.22,0.05,74.43,3.46
1.48,52.65,0.05,76.07,3.45
1.52,54.08,0.06,77.71,3.43
1.56,55.5,0.06,79.36,3.42
1.6,56.93,0.06,81.0,3.41
1.64,58.37,0.07,82.64,3.39
1.68,59.81,0.07,84.28,3.38
1.72,61.24,0.08,85.92,3.36
1.76,62.68,0.08,87.56,3.35
1.8,64.11,0.08,89.2,3.33
1.84,65.55,0.09,90.85,3.31
1.88,66.99,0.09,92.5,3.29
1.92,68.43,0.1,94.15,3.28
1.96,69.88,0.1,95.81,3.26
2.0,71.32,0.1,97.46,3.24
2.04,72.76,0.11,99.12,3.22
2.08,74.19,0.11,100.76,3.2
2.12,75.63,0.12,102.41,3.18
2.16,77.08,0.12,104.06,3.15
2.2,78.53,0.13,105.71,3.13
2.24,79.97,0.13,107.36,3.11
2.28,81.42,0.14,109.01,3.09
2.32,82.85,0.14,110.66,3.06
2.36,84.29,0.15,112.32,3.04
2.4,85.72,0.15,113.97,3.01
2.44,87.16,0.16,115.62,2.99
2.48,88.59,0.16,117.28,2.96
2.52,90.03,0.17,118.93,2.93
2.56,91.47,0.17,120.58,2.91
2.6,92.92,0.18,122.24,2.88
2.64,94.36,0.19,123.91,2.85
2.68,95.8,0.19,125.57,2.82
2.72,97.25,0.2,127.23,2.79
2.76,98.7,0.2,128.89,2.76
2.8,100.15,0.2,130.55,2.73
2.84,101.6,0.21,132.21,2.7
2.88,103.04,0.21,133.86,2.67
2.92,104.48,0.22,135.51,2.64
2.96,105.92,0.22,137.17,2.6
3.0,107.36,0.23,138.82,2.57
3.04,108.81,0.23,140.48,2.54
3.08,110.26,0.23,142.13,2.5
3.12,111.71,0.24,143.78,2.47
3.16,113.16,0.24,145.44,2.43
3.2,114.6,0.24,147.09,2.4
3.24,116.04,0.25,148.74,2.36
3.28,117.49,0.25,150.39,2.33
3.32,118.94,0.26,152.06,2.29
3.36,120.4,0.26,153.7,2.26
3.4,121.86,0.26,155.35,2.22
3.44,123.31,0.27,157.0,2.19
3.48,124.77,0.27,158.65,2.15
3.52,126.24,0.27,160.3,2.11
3.56,127.69,0.28,161.95,2.08
3.6,129.14,0.28,163.6,2.04
3.64,130.59,0.28,165.26,2.0
3.68,132.05,0.29,166.91,1.96
3.72,133.49,0.29,168.56,1.92
