t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,5.21,3.49
0.04,1.19,0.0,6.56,3.48
0.08,2.31,0.01,7.82,3.47
0.12,3.53,0.02,9.07,3.46
0.16,4.66,0.02,10.36,3.45
0.2,5.8,0.03,11.65,3.44
0.24,7.01,0.04,12.94,3.42
0.28,8.22,0.05,14.24,3.41
0.32,9.43,0.06,15.53,3.4
0.36,10.63,0.07,16.82,3.39
0.4,11.84,0.08,18.11,3.38
0.44,13.05,0.09,19.4,3.37
0.48,14.25,0.1,20.69,3.35
0.52,15.46,0.1,21.98,3.34
0.56,16.66,0.11,23.27,3.33
0.6,17.87,0.12,24.56,3.32
0.64,19.08,0.13,25.85,3.31
0.68,20.28,0.15,27.14,3.29
0.72,21.49,0.16,28.44,3.28
0.76,22.69,0.17,29.73,3.27
0.8,23.9,0.18,31.01,3.26
0.84,25.11,0.19,32.29,3.25
0.88,26.31,0.2,33.57,3.23
0.92,27.5,0.21,34.83,3.22
0.96,28.7,0.22,36.15,3.21
1.0,29.89,0.23,37.44,3.2
1.04,31.05,0.24,38.73,3.19
1.08,32.23,0.25,40.02,3.17
1.12,33.45,0.26,41.31,3.16
1.16,34.66,0.28,42.6,3.15
1.2,35.86,0.29,43.89,3.14
1.24,37.07,0.3,45.17,3.13
1.28,38.28,0.31,46.46,3.12
1.32,39.49,0.32,47.75,3.1
1.36,40.7,0.33,49.04,3.09
1.4,41.91,0.34,50.33,3.08
1.44,43.12,0.35,51.62,3.07
1.48,44.33,0.36,52.91,3.06
1.52,45.54,0.37,54.2,3.05
1.56,46.75,0.38,55.5,3.03
1.6,47.96,0.4,56.79,3.02
1.64,49.17,0.41,58.08,3.01
1.68,50.38,0.42,59.37,3.0
1.72,51.6,0.43,60.66,2.99
1.76,52.81,0.44,61.95,2.98
1.8,54.02,0.45,63.24,2.97
1.84,55.24,0.46,64.53,2.96
1.88,56.45,0.47,65.83,2.95
1.92,57.67,0.48,67.12,2.94
1.96,58.88,0.49,68.41,2.93
2.0,60.1,0.5,69.7,2.92
2.04,61.33,0.51,70.99,2.91
2.08,62.58,0.52,72.29,2.9
2.12,63.82,0.53,73.58,2.89
2.16,65.06,0.54,74.87,2.88
2.2,66.3,0.55,76.17,2.87
2.24,67.54,0.55,77.46,2.86
2.28,68.76,0.56,78.75,2.86
2.32,69.97,0.57,80.04,2.85
2.36,71.21,0.58,81.34,2.84
2.4,72.42,0.59,82.63,2.83
2.44,73.64,0.59,83.92,2.82
2.48,74.85,0.6,85.22,2.82
2.52,76.06,0.61,86.51,2.81
2.56,77.29,0.61,87.8,2.8
2.6,78.5,0.62,89.1,2.8
2.64,79.69,0.63,90.39,2.79
2.68,80.91,0.63,91.69,2.78
2.72,82.1,0.64,92.98,2.78
2.76,83.31,0.65,94.27,2.77
2.8,84.57,0.65,95.57,2.77
2.84,85.8,0.66,96.86,2.76
2.88,87.04,0.67,98.16,2.76
2.92,88.27,0.67,99.45,2.75
2.96,89.48,0.68,100.75,2.75
3.0,90.71,0.69,102.04,2.74
3.04,91.93,0.69,103.33,2.74
3.08,93.14,0.7,104.63,2.74
3.12,94.35,0.7,105.92,2.73
3.16,95.57,0.71,107.22,2.73
3.2,96.77,0.72,108.51,2.73
3.24,97.98,0.72,109.81,2.73
3.28,99.19,0.73,111.1,2.72
3.32,100.4,0.74,112.4,2.72
3.36,101.61,0.74,113.69,2.72
3.4,102.84,0.75,114.99,2.72
3.44,104.05,0.75,116.29,2.72
3.48,105.25,0.76,117.59,2.72
3.52,106.45,0.77,118.87,2.72
3.56,107.66,0.77,120.15,2.72
3.6,108.87,0.78,121.42,2.72
3.64,110.08,0.79,122.73,2.72
3.68,111.29,0.79,124.02,2.72
3.72,112.5,0.8,125.31,2.72
3.76,113.71,0.8,126.59,2.72
3.8,114.92,0.81,127.88,2.72
3.84,116.15,0.82,129.17,2.73
3.88,117.4,0.82,130.46,2.73
