t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,125.14,3.72
0.04,0.89,0.0,126.1,3.71
0.08,1.79,0.0,127.06,3.69
0.12,2.69,0.0,128.02,3.68
0.16,3.59,0.0,128.99,3.67
0.2,4.49,0.0,129.95,3.66
0.24,5.39,0.0,130.91,3.64
0.28,6.29,0.0,131.89,3.63
0.32,7.19,0.0,132.85,3.62
0.36,8.09,0.0,133.82,3.61
0.4,8.99,0.0,134.79,3.6
0.44,9.89,-0.01,135.75,3.58
0.48,10.8,-0.01,136.71,3.57
0.52,11.7,-0.01,137.68,3.56
0.56,12.6,-0.01,138.65,3.55
0.6,13.51,-0.01,139.61,3.54
0.64,14.41,-0.01,140.57,3.53
0.68,15.32,-0.01,141.54,3.51
0.72,16.21,-0.01,142.52,3.5
0.76,17.1,-0.01,143.49,3.49
0.8,18.0,-0.01,144.47,3.48
0.84,18.89,-0.01,145.45,3.47
0.88,19.8,-0.01,146.42,3.46
0.92,20.7,-0.01,147.39,3.45
0.96,21.59,-0.01,148.36,3.44
1.0,22.49,-0.02,149.33,3.43
1.04,23.39,-0.02,150.3,3.42
1.08,24.28,-0.02,151.27,3.41
1.12,25.17,-0.02,152.24,3.41
1.16,26.05,-0.02,153.21,3.4
1.2,26.96,-0.02,154.18,3.39
1.24,27.87,-0.02,155.15,3.38
1.28,28.78,-0.02,156.12,3.38
1.32,29.69,-0.02,157.1,3.37
1.36,30.59,-0.02,158.07,3.36
1.4,31.5,-0.02,159.04,3.35
1.44,32.39,-0.02,160.0,3.35
1.48,33.3,-0.02,160.97,3.34
1.52,34.2,-0.03,161.93,3.33
1.56,35.1,-0.03,162.89,3.33
1.6,36.0,-0.03,163.86,3.32
1.64,36.9,-0.03,164.82,3.32
1.68,37.8,-0.03,165.78,3.31
1.72,38.7,-0.03,166.74,3.3
1.76,39.61,-0.03,167.71,3.3
1.8,40.52,-0.04,168.68,3.29
1.84,41.42,-0.04,169.65,3.28
1.88,42.33,-0.04,170.61,3.27
1.92,43.24,-0.04,171.57,3.27
1.96,44.14,-0.04,172.55,3.26
2.0,45.04,-0.05,173.52,3.25
2.04,45.95,-0.05,174.49,3.25
2.08,46.85,-0.05,175.47,3.24
2.12,47.76,-0.05,176.45,3.23
2.16,48.67,-0.05,177.42,3.22
2.2,49.58,-0.06,178.4,3.22
2.24,50.49,-0.06,179.37,3.21
2.28,51.4,-0.06,180.34,3.2
2.32,52.31,-0.06,181.32,3.19
2.36,53.22,-0.06,182.3,3.18
2.4,54.11,-0.07,183.28,3.17
2.44,55.01,-0.07,184.25,3.17
2.48,55.91,-0.07,185.22,3.16
2.52,56.81,-0.07,186.2,3.15
2.56,57.71,-0.07,187.16,3.14
2.6,58.61,-0.07,188.12,3.13
2.64,59.52,-0.07,189.08,3.12
2.68,60.43,-0.08,190.05,3.11
2.72,61.33,-0.08,191.01,3.1
2.76,62.24,-0.08,191.99,3.09
2.8,63.15,-0.08,192.96,3.07
2.84,64.05,-0.08,193.93,3.06
2.88,64.96,-0.08,194.9,3.05
2.92,65.86,-0.08,195.86,3.03
2.96,66.76,-0.09,196.82,3.02
3.0,67.67,-0.09,197.78,3.01
3.04,68.57,-0.09,198.75,2.99
3.08,69.48,-0.09,199.73,2.98
3.12,70.39,-0.09,200.7,2.96
3.16,71.3,-0.09,201.68,2.95
3.2,72.21,-0.09,202.65,2.93
3.24,73.11,-0.09,203.63,2.91
3.28,74.02,-0.1,204.61,2.9
3.32,74.93,-0.1,205.58,2.88
3.36,75.83,-0.1,206.55,2.86
3.4,76.73,-0.1,207.52,2.85
3.44,77.62,-0.1,208.49,2.83
3.48,78.52,-0.1,209.46,2.81
3.52,79.42,-0.1,210.43,2.79
3.56,80.33,-0.1,211.4,2.77
3.6,81.24,-0.1,212.38,2.75
3.64,82.15,-0.1,213.36,2.73
3.68,83.06,-0.1,214.34,2.71
3.72,83.97,-0.1,215.31,2.69
3.76,84.88,-0.1,216.28,2.67
3.8,85.79,-0.1,217.26,2.65
3.84,86.7,-0.1,218.24,2.63
3.88,87.61,-0.1,219.22,2.61
3.92,88.52,-0.1,220.2,2.59
3.96,89.43,-0.1,221.18,2.57
4.0,90.34,-0.1,222.15,2.55
4.04,91.25,-0.1,223.12,2.53
4.08,92.16,-0.1,224.1,2.51
4.12,93.07,-0.09,225.08,2.49
4.16,93.98,-0.09,226.06,2.47
4.2,94.89,-0.09,227.03,2.45
4.24,95.8,-0.09,228.0,2.44
4.28,96.7,-0.09,228.97,2.42
4.32,97.61,-0.08,229.95,2.4
4.36,98.51,-0.08,230.93,2.39
4.4,99.43,-0.08,231.92,2.37
4.44,100.33,-0.08,232.91,2.36
4.48,101.24,-0.07,233.9,2.35
4.52,102.14,-0.07,234.87,2.33
4.56,103.04,-0.07,235.84,2.32
4.6,103.94,-0.06,236.82,2.31
4.64,104.84,-0.06,237.79,2.29
4.68,105.74,-0.06,238.77,2.28
4.72,106.64,-0.05,239.74,2.27
4.76,107.54,-0.05,240.72,2.26
4.8,108.45,-0.04,241.7,2.25
4.84,109.36,-0.04,242.68,2.24
4.88,110.27,-0.04,243.66,2.23
4.92,111.19,-0.04,244.64,2.22
4.96,112.1,-0.03,245.62,2.21
5.0,113.02,-0.03,246.61,2.2
5.04,113.93,-0.03,247.6,2.2
5.08,114.84,-0.02,248.58,2.19
5.12,115.75,-0.02,249.56,2.18
5.16,116.65,-0.02,250.54,2.17
5.2,117.56,-0.02,251.52,2.16
5.24,118.48,-0.02,252.5,2.15
5.28,119.39,-0.01,253.48,2.14
5.32,120.3,-0.01,254.46,2.13
5.36,121.22,-0.01,255.45,2.12
5.4,122.14,-0.01,256.43,2.12
5.44,123.06,-0.01,257.41,2.11
5.48,123.97,0.0,258.38,2.1
5.52,124.88,0.0,259.35,2.09
5.56,125.79,0.0,260.33,2.07
5.6,126.69,0.0,261.31,2.06
5.64,127.6,0.0,262.29,2.05
5.68,128.52,0.0,263.27,2.04
5.72,129.44,0.0,264.26,2.03
5.76,130.36,0.01,265.24,2.02
5.8,131.28,0.01,266.23,2.0
5.84,132.2,0.01,267.22,1.99
5.88,133.12,0.01,268.21,1.98
5.92,134.04,0.01,269.2,1.97
5.96,134.96,0.01,270.19,1.95
6.0,135.88,0.02,271.18,1.94
6.04,136.8,0.02,272.18,1.93
6.08,137.71,0.02,273.16,1.91
6.12,138.63,0.02,274.14,1.9
6.16,139.55,0.02,275.12,1.89
6.2,140.46,0.03,276.1,1.87
6.24,141.38,0.03,277.07,1.86
6.28,142.3,0.03,278.04,1.85
6.32,143.21,0.03,279.0,1.83
6.36,144.12,0.03,279.97,1.82
6.4,145.04,0.03,280.95,1.81
