t,x_ego,y_ego,x_tgt,y_tgt
0.0,-0.0,0.0,8.87,3.47
0.04,0.97,0.0,10.11,3.46
0.08,1.96,0.0,11.35,3.46
0.12,2.95,0.0,12.59,3.46
0.16,3.93,0.0,13.82,3.46
0.2,4.9,0.0,15.05,3.46
0.24,5.87,0.0,16.29,3.45
0.28,6.85,0.0,17.53,3.45
0.32,7.83,0.0,18.76,3.44
0.36,8.82,0.0,19.99,3.44
0.4,9.8,0.0,21.21,3.43
0.44,10.78,-0.01,22.44,3.43
0.48,11.77,-0.01,23.66,3.42
0.52,12.75,-0.01,24.88,3.41
0.56,13.73,-0.01,26.11,3.41
0.6,14.72,-0.01,27.34,3.4
0.64,15.69,-0.01,28.57,3.39
0.68,16.67,-0.01,29.79,3.38
0.72,17.65,-0.01,31.01,3.38
0.76,18.63,-0.02,32.23,3.37
0.8,19.61,-0.02,33.46,3.36
0.84,20.58,-0.02,34.69,3.35
0.88,21.56,-0.02,35.91,3.34
0.92,22.54,-0.02,37.14,3.33
0.96,23.52,-0.02,38.37,3.32
1.0,24.49,-0.03,39.6,3.31
1.04,25.47,-0.03,40.83,3.3
1.08,26.45,-0.03,42.05,3.28
1.12,27.42,-0.03,43.27,3.27
1.16,28.4,-0.04,44.49,3.26
1.2,29.38,-0.04,45.71,3.25
1.24,30.35,-0.04,46.92,3.23
1.28,31.33,-0.04,48.14,3.22
1.32,32.3,-0.04,49.36,3.21
1.36,33.28,-0.05,50.58,3.19
1.4,34.26,-0.05,51.8,3.18
1.44,35.23,-0.05,53.02,3.16
1.48,36.2,-0.05,54.24,3.14
1.52,37.18,-0.06,55.46,3.13
1.56,38.15,-0.06,56.68,3.11
1.6,39.12,-0.06,57.91,3.09
1.64,40.09,-0.06,59.13,3.07
1.68,41.06,-0.07,60.34,3.05
1.72,42.03,-0.07,61.55,3.03
1.76,43.01,-0.07,62.78,3.01
1.8,43.98,-0.07,64.0,2.99
1.84,44.95,-0.08,65.22,2.96
1.88,45.92,-0.08,66.43,2.94
1.92,46.88,-0.08,67.64,2.92
1.96,47.85,-0.08,68.87,2.89
2.0,48.81,-0.09,70.08,2.86
2.04,49.77,-0.09,71.29,2.84
2.08,50.75,-0.09,72.51,2.81
2.12,51.73,-0.09,73.73,2.79
2.16,52.71,-0.1,74.94,2.76
2.2,53.69,-0.1,76.15,2.73
2.24,54.67,-0.1,77.36,2.7
2.28,55.65,-0.11,78.58,2.68
2.32,56.63,-0.11,79.8,2.65
2.36,57.62,-0.11,81.02,2.62
2.4,58.59,-0.12,82.23,2.59
2.44,59.56,-0.12,83.44,2.56
2.48,60.53,-0.12,84.65,2.53
2.52,61.51,-0.13,85.86,2.5
2.56,62.49,-0.13,87.07,2.47
2.6,63.48,-0.13,88.29,2.44
2.64,64.46,-0.13,89.51,2.41
