t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,11.84,3.88
0.04,0.92,0.0,13.01,3.87
0.08,1.84,0.01,14.19,3.87
0.12,2.75,0.01,15.37,3.86
0.16,3.67,0.01,16.54,3.85
0.2,4.59,0.01,17.72,3.85
0.24,5.5,0.01,18.89,3.84
0.28,6.42,0.01,20.06,3.83
0.32,7.34,0.02,21.23,3.82
0.36,8.25,0.02,22.4,3.82
0.4,9.17,0.02,23.57,3.81
0.44,10.08,0.02,24.74,3.8
0.48,10.99,0.02,25.9,3.8
0.52,11.9,0.03,27.07,3.79
0.56,12.82,0.03,28.24,3.78
0.6,13.73,0.03,29.4,3.77
0.64,14.65,0.03,30.57,3.76
0.68,15.58,0.04,31.73,3.75
0.72,16.5,0.04,32.9,3.74
0.76,17.42,0.04,34.06,3.74
0.8,18.35,0.04,35.21,3.73
0.84,19.27,0.04,36.39,3.72
0.88,20.19,0.05,37.56,3.71
0.92,21.11,0.05,38.74,3.7
0.96,22.02,0.05,39.91,3.69
1.0,22.94,0.05,41.08,3.68
1.04,23.86,0.05,42.25,3.67
1.08,24.77,0.05,43.43,3.66
1.12,25.69,0.05,44.6,3.64
1.16,26.61,0.06,45.76,3.63
1.2,27.52,0.06,46.92,3.62
1.24,28.44,0.06,48.07,3.62
1.28,29.35,0.06,49.25,3.61
1.32,30.26,0.06,50.41,3.6
1.36,31.17,0.06,51.56,3.59
1.4,32.1,0.06,52.73,3.58
1.44,33.02,0.06,53.89,3.57
1.48,33.94,0.06,55.05,3.56
1.52,34.87,0.06,56.21,3.55
1.56,35.79,0.06,57.36,3.54
1.6,36.71,0.06,58.52,3.54
1.64,37.65,0.06,59.69,3.53
1.68,38.57,0.06,60.84,3.52
1.72,39.49,0.06,62.0,3.51
1.76,40.41,0.06,63.16,3.5
1.8,41.32,0.05,64.32,3.5
1.84,42.24,0.05,65.49,3.49
1.88,43.16,0.05,66.65,3.48
1.92,44.09,0.05,67.81,3.48
1.96,45.02,0.05,68.97,3.47
2.0,45.95,0.05,70.13,3.46
2.04,46.87,0.05,71.29,3.46
2.08,47.79,0.05,72.45,3.45
2.12,48.71,0.05,73.59,3.45
2.16,49.63,0.05,74.75,3.44
2.2,50.55,0.05,75.9,3.44
2.24,51.47,0.05,77.06,3.43
2.28,52.39,0.05,78.21,3.43
2.32,53.3,0.05,79.37,3.43
2.36,54.22,0.05,80.52,3.42
2.4,55.14,0.05,81.67,3.42
2.44,56.06,0.05,82.81,3.42
2.48,56.98,0.05,83.96,3.42
2.52,57.91,0.05,85.11,3.42
2.56,58.83,0.04,86.26,3.41
2.6,59.76,0.04,87.42,3.41
2.64,60.68,0.04,88.57,3.41
2.68,61.6,0.04,89.73,3.41
2.72,62.53,0.04,90.88,3.41
2.76,63.45,0.04,92.03,3.41
2.8,64.38,0.04,93.18,3.41
2.84,65.3,0.04,94.34,3.41
2.88,66.22,0.04,95.48,3.41
2.92,67.14,0.03,96.63,3.41
2.96,68.06,0.03,97.78,3.41
3.0,68.99,0.03,98.93,3.42
3.04,69.91,0.03,100.07,3.42
3.08,70.84,0.03,101.22,3.42
3.12,71.76,0.03,102.36,3.42
3.16,72.69,0.03,103.5,3.42
3.2,73.63,0.03,104.65,3.43
3.24,74.55,0.03,105.78,3.43
3.28,75.48,0.03,106.92,3.43
3.32,76.4,0.03,108.05,3.43
3.36,77.32,0.03,109.18,3.44
3.4,78.24,0.03,110.32,3.44
3.44,79.16,0.03,111.47,3.44
3.48,80.08,0.03,112.61,3.45
3.52,80.99,0.03,113.75,3.45
3.56,81.91,0.03,114.88,3.46
3.6,82.83,0.02,116.01,3.46
3.64,83.76,0.02,117.15,3.46
3.68,84.69,0.02,118.3,3.47
3.72,85.62,0.02,119.43,3.47
3.76,86.55,0.01,120.57,3.48
3.8,87.49,0.01,121.7,3.48
3.84,88.41,0.01,122.84,3.49
3.88,89.34,0.01,123.99,3.49
3.92,90.26,0.0,125.12,3.5
3.96,91.18,0.0,126.26,3.5
4.0,92.1,0.0,127.4,3.51
4.04,93.03,-0.01,128.53,3.51
4.08,93.95,-0.01,129.67,3.52
4.12,94.88,-0.01,130.81,3.53
4.16,95.8,-0.02,131.94,3.53
4.2,96.72,-0.02,133.08,3.54
4.24,97.64,-0.03,134.21,3.54
4.28,98.56,-0.03,135.35,3.55
4.32,99.48,-0.04,136.49,3.55
4.36,100.4,-0.04,137.62,3.56
4.4,101.32,-0.05,138.76,3.57
4.44,102.24,-0.05,139.9,3.57
4.48,103.17,-0.06,141.04,3.58
4.52,104.1,-0.07,142.19,3.58
4.56,105.03,-0.07,143.33,3.59
4.6,105.96,-0.08,144.47,3.59
4.64,106.89,-0.09,145.62,3.6
4.68,107.81,-0.09,146.76,3.6
4.72,108.74,-0.1,147.9,3.61
4.76,109.66,-0.11,149.03,3.61
4.8,110.59,-0.11,150.18,3.61
4.84,111.52,-0.12,151.32,3.62
4.88,112.45,-0.13,152.46,3.62
4.92,113.37,-0.13,153.6,3.62
4.96,114.29,-0.14,154.73,3.62
5.0,115.21,-0.14,155.87,3.63
5.04,116.13,-0.15,157.01,3.63
5.08,117.05,-0.15,158.15,3.63
5.12,117.98,-0.15,159.29,3.63
5.16,118.89,-0.16,160.44,3.63
5.2,119.8,-0.16,161.57,3.63
5.24,120.7,-0.17,162.71,3.63
5.28,121.6,-0.17,163.86,3.63
5.32,122.5,-0.18,165.0,3.63
5.36,123.41,-0.18,166.15,3.63
5.4,124.33,-0.19,167.3,3.63
5.44,125.26,-0.19,168.44,3.63
5.48,126.18,-0.2,169.58,3.63
5.52,127.11,-0.2,170.72,3.63
5.56,128.04,-0.2,171.87,3.63
5.6,128.98,-0.21,173.02,3.63
5.64,129.91,-0.21,174.17,3.63
5.68,130.83,-0.21,175.31,3.62
5.72,131.77,-0.22,176.45,3.62
5.76,132.7,-0.22,177.6,3.62
5.8,133.63,-0.22,178.75,3.62
5.84,134.57,-0.23,179.9,3.61
5.88,135.5,-0.23,181.04,3.61
5.92,136.43,-0.23,182.2,3.6
5.96,137.36,-0.24,183.34,3.6
6.0,138.29,-0.24,184.48,3.6
6.04,139.22,-0.24,185.63,3.59
6.08,140.15,-0.25,186.78,3.58
6.12,141.08,-0.25,187.92,3.58
6.16,142.01,-0.26,189.06,3.57
6.2,142.94,-0.26,190.2,3.57
6.24,143.88,-0.26,191.35,3.56
6.28,144.81,-0.27,192.5,3.55
6.32,145.74,-0.27,193.65,3.55
6.36,146.67,-0.28,194.8,3.54
6.4,147.6,-0.28,195.96,3.53
6.44,148.53,-0.28,197.11,3.53
6.48,149.47,-0.28,198.27,3.52
6.52,150.41,-0.29,199.42,3.51
6.56,151.34,-0.29,200.58,3.51
6.6,152.27,-0.29,201.73,3.5
6.64,153.21,-0.29,202.88,3.49
6.68,154.14,-0.3,204.04,3.48
6.72,155.07,-0.3,205.19,3.48
6.76,156.0,-0.3,206.35,3.47
6.8,156.93,-0.3,207.5,3.46
6.84,157.86,-0.3,208.65,3.46
6.88,158.79,-0.3,209.8,3.45
6.92,159.72,-0.3,210.95,3.44
6.96,160.66,-0.31,212.1,3.44
7.0,161.59,-0.31,213.26,3.43
7.04,162.53,-0.31,214.42,3.43
7.08,163.47,-0.31,215.58,3.42
7.12,164.41,-0.31,216.74,3.41
7.16,165.35,-0.31,217.9,3.41
7.2,166.28,-0.31,219.07,3.4
7.24,167.21,-0.31,220.23,3.39
7.28,168.13,-0.31,221.39,3.39
7.32,169.05,-0.31,222.55,3.38
7.36,169.97,-0.31,223.71,3.37
7.4,170.89,-0.31,224.86,3.37
7.44,171.83,-0.31,226.02,3.36
7.48,172.77,-0.31,227.18,3.35
7.52,173.71,-0.31,228.34,3.34
7.56,174.64,-0.31,229.5,3.34
7.6,175.57,-0.31,230.66,3.33
7.64,176.5,-0.31,231.83,3.32
7.68,177.43,-0.31,232.99,3.31
7.72,178.37,-0.31,234.16,3.3
7.76,179.29,-0.31,235.32,3.3
7.8,180.22,-0.31,236.48,3.29
7.84,181.16,-0.31,237.65,3.28
7.88,182.08,-0.31,238.8,3.27
7.92,183.02,-0.31,239.96,3.26
7.96,183.95,-0.31,241.12,3.25
8.0,184.88,-0.31,242.28,3.23
