t,x_ego,y_ego,x_tgt,y_tgt
0.0,0.0,0.0,-21.06,3.52
0.04,1.01,0.0,-19.86,3.51
0.08,2.02,0.0,-18.66,3.51
0.12,3.03,-0.01,-17.46,3.51
0.16,4.03,-0.01,-16.27,3.51
0.2,5.04,-0.01,-15.07,3.51
0.24,6.05,-0.01,-13.84,3.5
0.28,7.06,-0.01,-12.62,3.5
0.32,8.07,-0.02,-11.4,3.5
0.36,9.08,-0.02,-10.18,3.5
0.4,10.09,-0.02,-8.97,3.49
0.44,11.11,-0.02,-7.75,3.49
0.48,12.14,-0.02,-6.54,3.49
0.52,13.14,-0.02,-5.32,3.48
0.56,14.14,-0.02,-4.09,3.48
0.6,15.16,-0.03,-2.87,3.48
0.64,16.16,-0.03,-1.64,3.47
0.68,17.16,-0.03,-0.41,3.47
0.72,18.19,-0.03,0.81,3.47
0.76,19.21,-0.03,2.04,3.46
0.8,20.22,-0.03,3.26,3.46
0.84,21.24,-0.03,4.48,3.45
0.88,22.25,-0.03,5.71,3.45
0.92,23.27,-0.03,6.93,3.44
0.96,24.28,-0.02,8.16,3.44
1.0,25.3,-0.02,9.39,3.44
1.04,26.31,-0.02,10.61,3.43
1.08,27.33,-0.02,11.85,3.43
1.12,28.35,-0.02,13.08,3.42
1.16,29.36,-0.02,14.31,3.42
1.2,30.38,-0.02,15.54,3.41
1.24,31.4,-0.02,16.77,3.41
1.28,32.41,-0.02,18.0,3.4
1.32,33.43,-0.02,19.23,3.4
1.36,34.45,-0.02,20.45,3.4
1.4,35.47,-0.02,21.69,3.39
1.44,36.49,-0.01,22.91,3.39
1.48,37.51,-0.01,24.13,3.38
1.52,38.53,-0.01,25.37,3.38
1.56,39.55,-0.01,26.59,3.38
1.6,40.57,-0.01,27.84,3.37
1.64,41.59,-0.01,29.07,3.37
1.68,42.61,-0.01,30.31,3.37
1.72,43.63,-0.01,31.54,3.36
1.76,44.66,-0.01,32.78,3.36
1.8,45.68,0.0,34.01,3.36
1.84,46.7,0.0,35.25,3.35
1.88,47.72,0.0,36.48,3.35
1.92,48.74,0.0,37.73,3.35
1.96,49.76,0.0,38.97,3.35
2.0,50.8,0.0,40.21,3.35
2.04,51.81,0.0,41.44,3.34
2.08,52.83,0.01,42.66,3.34
2.12,53.86,0.01,43.9,3.34
2.16,54.88,0.01,45.12,3.34
2.2,55.9,0.01,46.35,3.33
2.24,56.94,0.01,47.59,3.33
2.28,57.97,0.01,48.82,3.33
2.32,58.99,0.01,50.06,3.33
2.36,60.03,0.01,51.31,3.32
2.4,61.05,0.02,52.54,3.32
2.44,62.08,0.02,53.79,3.32
2.48,63.1,0.02,55.03,3.32
2.52,64.13,0.02,56.27,3.31
2.56,65.16,0.02,57.5,3.31
2.6,66.18,0.02,58.73,3.31
2.64,67.21,0.02,59.96,3.31
2.68,68.24,0.02,61.2,3.3
2.72,69.26,0.03,62.42,3.3
2.76,70.29,0.03,63.66,3.3
2.8,71.31,0.03,64.89,3.3
2.84,72.34,0.03,66.12,3.29
2.88,73.38,0.04,67.38,3.29
2.92,74.41,0.04,68.63,3.29
2.96,75.43,0.04,69.89,3.28
3.0,76.47,0.04,71.13,3.28
3.04,77.49,0.05,72.37,3.28
3.08,78.51,0.05,73.6,3.28
3.12,79.54,0.05,74.83,3.27
3.16,80.57,0.06,76.06,3.27
