frame,ego_id,ego_x,ego_y,ego_vx,ego_vy,ego_width,ego_height,ego_laneId,target_id,target_x,target_y,target_vx,target_vy,target_width,target_height,target_laneId
17934,934,222.99,27.73,23.62,-0.03,16.88,2.5,8,936,253.25,23.84,32.17,0.52,6.57,2.32,7
17935,934,223.93,27.73,23.62,-0.03,16.88,2.5,8,936,254.55,23.87,32.18,0.54,6.57,2.32,7
17936,934,224.86,27.73,23.63,-0.03,16.88,2.5,8,936,255.83,23.89,32.18,0.56,6.57,2.32,7
17937,934,225.8,27.73,23.63,-0.03,16.88,2.5,8,936,257.12,23.91,32.19,0.58,6.57,2.32,7
17938,934,226.74,27.72,23.64,-0.03,16.88,2.5,8,936,258.41,23.93,32.2,0.59,6.57,2.32,7
17939,934,227.78,27.72,23.64,-0.03,16.88,2.5,8,936,259.71,23.96,32.2,0.61,6.57,2.32,7
17940,934,228.8,27.72,23.65,-0.03,16.88,2.5,8,936,261.0,23.98,32.21,0.63,6.57,2.32,7
17941,934,229.78,27.72,23.65,-0.03,16.88,2.5,8,936,262.3,24.01,32.21,0.65,6.57,2.32,7
17942,934,230.75,27.72,23.66,-0.03,16.88,2.5,8,936,263.59,24.03,32.22,0.67,6.57,2.32,7
17943,934,231.69,27.72,23.66,-0.03,16.88,2.5,8,936,264.88,24.06,32.22,0.69,6.57,2.32,7
17944,934,232.63,27.71,23.66,-0.03,16.88,2.5,8,936,266.16,24.09,32.23,0.7,6.57,2.32,7
17945,934,233.57,27.71,23.67,-0.03,16.88,2.5,8,936,267.45,24.12,32.23,0.72,6.57,2.32,7
17946,934,234.51,27.71,23.67,-0.03,16.88,2.5,8,936,268.74,24.14,32.24,0.74,6.57,2.32,7
17947,934,235.45,27.71,23.67,-0.03,16.88,2.5,8,936,270.02,24.17,32.24,0.76,6.57,2.32,7
17948,934,236.39,27.71,23.67,-0.03,16.88,2.5,8,936,271.31,24.2,32.25,0.78,6.57,2.32,7
17949,934,237.34,27.71,23.68,-0.03,16.88,2.5,8,936,272.61,24.24,32.25,0.79,6.57,2.32,7
17950,934,238.29,27.71,23.68,-0.03,16.88,2.5,8,936,273.9,24.27,32.26,0.81,6.57,2.32,7
17951,934,239.24,27.7,23.68,-0.03,16.88,2.5,8,936,275.2,24.3,32.26,0.83,6.57,2.32,7
17952,934,240.19,27.7,23.68,-0.03,16.88,2.5,8,936,276.49,24.33,32.26,0.85,6.57,2.32,7
17953,934,241.13,27.7,23.68,-0.03,16.88,2.5,8,936,277.79,24.37,32.27,0.86,6.57,2.32,7
17954,934,242.08,27.7,23.69,-0.03,16.88,2.5,8,936,279.09,24.4,32.27,0.88,6.57,2.32,7
17955,934,243.03,27.7,23.69,-0.03,16.88,2.5,8,936,280.39,24.44,32.27,0.9,6.57,2.32,7
17956,934,243.98,27.7,23.69,-0.03,16.88,2.5,8,936,281.68,24.47,32.28,0.91,6.57,2.32,7
17957,934,244.92,27.7,23.69,-0.03,16.88,2.5,8,936,282.96,24.51,32.28,0.93,6.57,2.32,7
17958,934,245.86,27.7,23.69,-0.03,16.88,2.5,8,936,284.25,24.54,32.28,0.94,6.57,2.32,7
17959,934,246.82,27.7,23.69,-0.03,16.88,2.5,8,936,285.55,24.58,32.28,0.96,6.57,2.32,7
17960,934,247.76,27.7,23.69,-0.04,16.88,2.5,8,936,286.85,24.62,32.29,0.97,6.57,2.32,7
17961,934,248.71,27.7,23.69,-0.04,16.88,2.5,8,936,288.14,24.66,32.29,0.99,6.57,2.32,7
17962,934,249.65,27.7,23.7,-0.04,16.88,2.5,8,936,289.43,24.7,32.29,1.0,6.57,2.32,7
17963,934,250.59,27.7,23.7,-0.04,16.88,2.5,8,936,290.72,24.74,32.29,1.02,6.57,2.32,7
