frame,ego_id,ego_x,ego_y,ego_vx,ego_vy,ego_width,ego_height,ego_laneId,target_id,target_x,target_y,target_vx,target_vy,target_width,target_height,target_laneId
21188,895,217.38,17.37,-25.03,-0.03,17.38,2.5,3,896,207.8,21.29,-36.93,-0.34,4.75,1.92,4
21189,895,216.38,17.37,-25.03,-0.03,17.38,2.5,3,896,206.32,21.28,-36.92,-0.36,4.75,1.92,4
21190,895,215.37,17.37,-25.02,-0.03,17.38,2.5,3,896,204.85,21.26,-36.92,-0.38,4.75,1.92,4
21191,895,214.37,17.37,-25.02,-0.03,17.38,2.5,3,896,203.38,21.25,-36.91,-0.4,4.75,1.92,4
21192,895,213.36,17.37,-25.01,-0.03,17.38,2.5,3,896,201.91,21.23,-36.91,-0.42,4.75,1.92,4
21193,895,212.37,17.37,-25.01,-0.03,17.38,2.5,3,896,200.43,21.22,-36.9,-0.44,4.75,1.92,4
21194,895,211.38,17.37,-25.0,-0.02,17.38,2.5,3,896,198.96,21.2,-36.89,-0.46,4.75,1.92,4
21195,895,210.39,17.36,-25.0,-0.02,17.38,2.5,3,896,197.49,21.18,-36.89,-0.48,4.75,1.92,4
21196,895,209.38,17.36,-24.99,-0.02,17.38,2.5,3,896,196.0,21.16,-36.88,-0.5,4.75,1.92,4
21197,895,208.38,17.36,-24.98,-0.02,17.38,2.5,3,896,194.53,21.14,-36.88,-0.52,4.75,1.92,4
21198,895,207.38,17.36,-24.98,-0.02,17.38,2.5,3,896,193.05,21.12,-36.87,-0.54,4.75,1.92,4
21199,895,206.38,17.36,-24.97,-0.01,17.38,2.5,3,896,191.58,21.1,-36.87,-0.56,4.75,1.92,4
21200,895,205.38,17.36,-24.97,-0.01,17.38,2.5,3,896,190.11,21.08,-36.86,-0.58,4.75,1.92,4
21201,895,204.39,17.36,-24.96,-0.01,17.38,2.5,3,896,188.64,21.05,-36.86,-0.6,4.75,1.92,4
21202,895,203.39,17.36,-24.96,-0.01,17.38,2.5,3,896,187.16,21.03,-36.85,-0.62,4.75,1.92,4
21203,895,202.38,17.36,-24.95,-0.0,17.38,2.5,3,896,185.69,21.0,-36.85,-0.64,4.75,1.92,4
21204,895,201.37,17.36,-24.94,-0.0,17.38,2.5,3,896,184.22,20.98,-36.85,-0.66,4.75,1.92,4
21205,895,200.37,17.36,-24.94,-0.0,17.38,2.5,3,896,182.75,20.95,-36.84,-0.68,4.75,1.92,4
21206,895,199.37,17.36,-24.93,0.0,17.38,2.5,3,896,181.28,20.92,-36.84,-0.7,4.75,1.92,4
21207,895,198.37,17.36,-24.92,0.0,17.38,2.5,3,896,179.81,20.89,-36.83,-0.72,4.75,1.92,4
21208,895,197.37,17.36,-24.92,0.0,17.38,2.5,3,896,178.34,20.86,-36.83,-0.74,4.75,1.92,4
21209,895,196.37,17.36,-24.91,0.01,17.38,2.5,3,896,176.87,20.83,-36.83,-0.76,4.75,1.92,4
21210,895,195.37,17.36,-24.91,0.01,17.38,2.5,3,896,175.4,20.8,-36.82,-0.78,4.75,1.92,4
21211,895,194.37,17.36,-24.9,0.01,17.38,2.5,3,896,173.92,20.77,-36.82,-0.79,4.75,1.92,4
