frame,ego_id,ego_x,ego_y,ego_vx,ego_vy,ego_width,ego_height,ego_laneId,target_id,target_x,target_y,target_vx,target_vy,target_width,target_height,target_laneId
22078,1784,242.46,3.8,-21.87,0.02,14.75,2.5,2,1790,288.55,8.04,-32.24,-0.0,4.45,1.92,3
22079,1784,241.6,3.81,-21.87,0.02,14.75,2.5,2,1790,287.26,8.03,-32.23,-0.0,4.45,1.92,3
22080,1784,240.74,3.81,-21.87,0.02,14.75,2.5,2,1790,285.96,8.03,-32.23,-0.01,4.45,1.92,3
22081,1784,239.87,3.81,-21.87,0.02,14.75,2.5,2,1790,284.67,8.03,-32.22,-0.01,4.45,1.92,3
22082,1784,238.99,3.81,-21.88,0.02,14.75,2.5,2,1790,283.38,8.03,-32.21,-0.01,4.45,1.92,3
22083,1784,238.12,3.81,-21.88,0.02,14.75,2.5,2,1790,282.09,8.03,-32.21,-0.01,4.45,1.92,3
22084,1784,237.24,3.81,-21.88,0.01,14.75,2.5,2,1790,280.8,8.03,-32.2,-0.01,4.45,1.92,3
22085,1784,236.36,3.81,-21.88,0.01,14.75,2.5,2,1790,279.51,8.03,-32.2,-0.02,4.45,1.92,3
22086,1784,235.48,3.81,-21.88,0.01,14.75,2.5,2,1790,278.22,8.03,-32.19,-0.02,4.45,1.92,3
22087,1784,234.6,3.81,-21.88,0.01,14.75,2.5,2,1790,276.94,8.03,-32.18,-0.02,4.45,1.92,3
22088,1784,233.72,3.81,-21.88,0.01,14.75,2.5,2,1790,275.66,8.03,-32.18,-0.02,4.45,1.92,3
22089,1784,232.85,3.81,-21.88,0.0,14.75,2.5,2,1790,274.37,8.03,-32.17,-0.02,4.45,1.92,3
22090,1784,231.98,3.81,-21.88,0.0,14.75,2.5,2,1790,273.08,8.03,-32.16,-0.02,4.45,1.92,3
22091,1784,231.11,3.81,-21.89,-0.0,14.75,2.5,2,1790,271.8,8.03,-32.16,-0.03,4.45,1.92,3
22092,1784,230.23,3.81,-21.89,-0.0,14.75,2.5,2,1790,270.51,8.02,-32.15,-0.03,4.45,1.92,3
22093,1784,229.36,3.81,-21.89,-0.0,14.75,2.5,2,1790,269.23,8.02,-32.14,-0.03,4.45,1.92,3
22094,1784,228.48,3.81,-21.89,-0.0,14.75,2.5,2,1790,267.94,8.02,-32.14,-0.03,4.45,1.92,3
22095,1784,227.59,3.81,-21.89,-0.01,14.75,2.5,2,1790,266.65,8.02,-32.13,-0.03,4.45,1.92,3
22096,1784,226.71,3.81,-21.89,-0.01,14.75,2.5,2,1790,265.36,8.02,-32.12,-0.03,4.45,1.92,3
22097,1784,225.83,3.81,-21.89,-0.01,14.75,2.5,2,1790,264.08,8.02,-32.12,-0.03,4.45,1.92,3
22098,1784,224.96,3.81,-21.9,-0.01,14.75,2.5,2,1790,262.8,8.02,-32.11,-0.03,4.45,1.92,3
22099,1784,224.08,3.81,-21.9,-0.01,14.75,2.5,2,1790,261.51,8.01,-32.1,-0.03,4.45,1.92,3
22100,1784,223.21,3.81,-21.9,-0.01,14.75,2.5,2,1790,260.22,8.01,-32.09,-0.03,4.45,1.92,3
22101,1784,222.34,3.8,-21.9,-0.01,14.75,2.5,2,1790,258.93,8.01,-32.09,-0.03,4.45,1.92,3
22102,1784,221.47,3.8,-21.9,-0.01,14.75,2.5,2,1790,257.64,8.01,-32.08,-0.03,4.45,1.92,3
22103,1784,220.6,3.8,-21.9,-0.01,14.75,2.5,2,1790,256.36,8.01,-32.07,-0.04,4.45,1.92,3
22104,1784,219.72,3.8,-21.91,-0.01,14.75,2.5,2,1790,255.08,8.01,-32.06,-0.04,4.45,1.92,3
