frame,ego_id,ego_x,ego_y,ego_vx,ego_vy,ego_width,ego_height,ego_laneId,target_id,target_x,target_y,target_vx,target_vy,target_width,target_height,target_laneId
3142,288,315.35,7.65,-28.94,-0.08,6.16,2.22,3,289,299.86,11.93,-36.55,-0.22,5.05,1.82,4
3143,288,314.19,7.64,-28.93,-0.08,6.16,2.22,3,289,298.39,11.92,-36.55,-0.23,5.05,1.82,4
3144,288,313.02,7.64,-28.93,-0.08,6.16,2.22,3,289,296.93,11.91,-36.55,-0.24,5.05,1.82,4
3145,288,311.86,7.64,-28.93,-0.08,6.16,2.22,3,289,295.46,11.9,-36.55,-0.24,5.05,1.82,4
3146,288,310.69,7.63,-28.93,-0.07,6.16,2.22,3,289,293.99,11.89,-36.55,-0.25,5.05,1.82,4
3147,288,309.54,7.63,-28.93,-0.07,6.16,2.22,3,289,292.51,11.88,-36.54,-0.25,5.05,1.82,4
3148,288,308.39,7.63,-28.93,-0.07,6.16,2.22,3,289,291.04,11.87,-36.54,-0.26,5.05,1.82,4
3149,288,307.24,7.63,-28.93,-0.07,6.16,2.22,3,289,289.57,11.86,-36.54,-0.27,5.05,1.82,4
3150,288,306.08,7.62,-28.93,-0.06,6.16,2.22,3,289,288.11,11.84,-36.54,-0.27,5.05,1.82,4
3151,288,304.92,7.62,-28.93,-0.06,6.16,2.22,3,289,286.64,11.83,-36.53,-0.28,5.05,1.82,4
3152,288,303.76,7.62,-28.93,-0.06,6.16,2.22,3,289,285.17,11.82,-36.53,-0.28,5.05,1.82,4
3153,288,302.6,7.61,-28.92,-0.06,6.16,2.22,3,289,283.7,11.81,-36.52,-0.29,5.05,1.82,4
3154,288,301.45,7.61,-28.92,-0.05,6.16,2.22,3,289,282.23,11.8,-36.52,-0.29,5.05,1.82,4
3155,288,300.29,7.61,-28.92,-0.05,6.16,2.22,3,289,280.77,11.79,-36.51,-0.3,5.05,1.82,4
3156,288,299.14,7.61,-28.92,-0.05,6.16,2.22,3,289,279.31,11.77,-36.51,-0.3,5.05,1.82,4
3157,288,297.98,7.61,-28.92,-0.04,6.16,2.22,3,289,277.84,11.76,-36.5,-0.31,5.05,1.82,4
3158,288,296.83,7.6,-28.92,-0.04,6.16,2.22,3,289,276.38,11.75,-36.5,-0.31,5.05,1.82,4
3159,288,295.69,7.6,-28.92,-0.04,6.16,2.22,3,289,274.93,11.74,-36.49,-0.32,5.05,1.82,4
3160,288,294.53,7.6,-28.92,-0.03,6.16,2.22,3,289,273.47,11.72,-36.48,-0.32,5.05,1.82,4
3161,288,293.38,7.6,-28.92,-0.03,6.16,2.22,3,289,272.02,11.71,-36.48,-0.33,5.05,1.82,4
3162,288,292.22,7.6,-28.92,-0.03,6.16,2.22,3,289,270.56,11.7,-36.47,-0.33,5.05,1.82,4
3163,288,291.07,7.6,-28.92,-0.02,6.16,2.22,3,289,269.1,11.68,-36.46,-0.34,5.05,1.82,4
3164,288,289.91,7.6,-28.91,-0.02,6.16,2.22,3,289,267.65,11.67,-36.45,-0.34,5.05,1.82,4
3165,288,288.75,7.59,-28.91,-0.01,6.16,2.22,3,289,266.2,11.66,-36.44,-0.34,5.05,1.82,4
3166,288,287.59,7.59,-28.91,-0.01,6.16,2.22,3,289,264.75,11.64,-36.43,-0.35,5.05,1.82,4
