frame,ego_id,ego_x,ego_y,ego_vx,ego_vy,ego_width,ego_height,ego_laneId,target_id,target_x,target_y,target_vx,target_vy,target_width,target_height,target_laneId
16904,983,169.3,8.06,-25.99,-0.04,17.48,2.5,3,984,154.34,11.8,-31.04,-0.77,3.64,1.82,4
16905,983,168.26,8.06,-25.99,-0.04,17.48,2.5,3,984,153.1,11.77,-31.05,-0.79,3.64,1.82,4
16906,983,167.22,8.06,-25.98,-0.04,17.48,2.5,3,984,151.86,11.74,-31.05,-0.81,3.64,1.82,4
16907,983,166.18,8.05,-25.98,-0.04,17.48,2.5,3,984,150.62,11.71,-31.06,-0.82,3.64,1.82,4
16908,983,165.15,8.05,-25.97,-0.04,17.48,2.5,3,984,149.39,11.67,-31.07,-0.84,3.64,1.82,4
16909,983,164.13,8.05,-25.97,-0.04,17.48,2.5,3,984,148.14,11.64,-31.08,-0.86,3.64,1.82,4
16910,983,163.1,8.05,-25.96,-0.04,17.48,2.5,3,984,146.9,11.6,-31.08,-0.87,3.64,1.82,4
16911,983,162.08,8.05,-25.96,-0.04,17.48,2.5,3,984,145.66,11.57,-31.09,-0.89,3.64,1.82,4
16912,983,161.04,8.05,-25.96,-0.04,17.48,2.5,3,984,144.41,11.53,-31.1,-0.91,3.64,1.82,4
16913,983,160.0,8.05,-25.95,-0.04,17.48,2.5,3,984,143.16,11.5,-31.11,-0.92,3.64,1.82,4
16914,983,158.97,8.04,-25.95,-0.03,17.48,2.5,3,984,141.92,11.46,-31.11,-0.94,3.64,1.82,4
16915,983,157.93,8.04,-25.95,-0.03,17.48,2.5,3,984,140.68,11.42,-31.12,-0.96,3.64,1.82,4
16916,983,156.9,8.04,-25.94,-0.03,17.48,2.5,3,984,139.44,11.38,-31.13,-0.97,3.64,1.82,4
16917,983,155.86,8.04,-25.94,-0.03,17.48,2.5,3,984,138.19,11.34,-31.14,-0.99,3.64,1.82,4
16918,983,154.82,8.04,-25.94,-0.03,17.48,2.5,3,984,136.94,11.31,-31.14,-1.0,3.64,1.82,4
16919,983,153.79,8.04,-25.94,-0.03,17.48,2.5,3,984,135.69,11.26,-31.15,-1.02,3.64,1.82,4
16920,983,152.76,8.03,-25.93,-0.03,17.48,2.5,3,984,134.44,11.22,-31.16,-1.04,3.64,1.82,4
16921,983,151.72,8.03,-25.93,-0.03,17.48,2.5,3,984,133.19,11.18,-31.16,-1.05,3.64,1.82,4
16922,983,150.68,8.03,-25.93,-0.02,17.48,2.5,3,984,131.94,11.14,-31.17,-1.06,3.64,1.82,4
16923,983,149.64,8.03,-25.93,-0.02,17.48,2.5,3,984,130.7,11.1,-31.18,-1.08,3.64,1.82,4
16924,983,148.59,8.03,-25.93,-0.02,17.48,2.5,3,984,129.46,11.06,-31.18,-1.09,3.64,1.82,4
16925,983,147.55,8.03,-25.93,-0.02,17.48,2.5,3,984,128.22,11.01,-31.19,-1.11,3.64,1.82,4
16926,983,146.51,8.03,-25.93,-0.02,17.48,2.5,3,984,126.98,10.97,-31.2,-1.12,3.64,1.82,4
16927,983,145.47,8.03,-25.92,-0.02,17.48,2.5,3,984,125.73,10.92,-31.21,-1.13,3.64,1.82,4
16928,983,144.43,8.03,-25.92,-0.02,17.48,2.5,3,984,124.48,10.88,-31.21,-1.15,3.64,1.82,4
16929,983,143.41,8.03,-25.92,-0.02,17.48,2.5,3,984,123.23,10.83,-31.22,-1.16,3.64,1.82,4
16930,983,142.38,8.03,-25.92,-0.02,17.48,2.5,3,984,121.98,10.78,-31.23,-1.17,3.64,1.82,4
16931,983,141.35,8.03,-25.92,-0.02,17.48,2.5,3,984,120.73,10.74,-31.23,-1.18,3.64,1.82,4
16932,983,140.33,8.03,-25.92,-0.02,17.48,2.5,3,984,119.47,10.69,-31.24,-1.19,3.64,1.82,4
16933,983,139.3,8.03,-25.92,-0.02,17.48,2.5,3,984,118.22,10.64,-31.25,-1.2,3.64,1.82,4
16934,983,138.26,8.03,-25.92,-0.01,17.48,2.5,3,984,116.96,10.59,-31.25,-1.21,3.64,1.82,4
16935,983,137.21,8.03,-25.92,-0.01,17.48,2.5,3,984,115.69,10.54,-31.26,-1.22,3.64,1.82,4
16936,983,136.17,8.03,-25.93,-0.01,17.48,2.5,3,984,114.44,10.49,-31.26,-1.23,3.64,1.82,4
16937,983,135.12,8.03,-25.93,-0.01,17.48,2.5,3,984,113.19,10.44,-31.27,-1.23,3.64,1.82,4
16938,983,134.09,8.03,-25.93,-0.01,17.48,2.5,3,984,111.95,10.39,-31.28,-1.24,3.64,1.82,4
16939,983,133.06,8.02,-25.93,-0.01,17.48,2.5,3,984,110.7,10.34,-31.28,-1.25,3.64,1.82,4
16940,983,132.04,8.02,-25.93,-0.01,17.48,2.5,3,984,109.46,10.29,-31.29,-1.25,3.64,1.82,4
